Title,Genre,Ratings,Vote_Counts,Runtime
10 Lives,family,5.9,21,88
14 Days Love,family,6.4,12,112
1600 Meter,family,6.1,53,106
2 Steps Forward,family,6.1,53,95
200% Wolf,family,5.9,13,98
2nd Miracle in Cell No. 7,family,7.4,345,147
"7 dney, 7 nochey",family,6.2,410,98
A Brother and 7 Siblings,family,8.6,12,129
A Carpenter's Prayer,family,6.2,120,91
A Christmas Miracle,family,5.8,70,88
A Christmas Reunion,family,4.4,12,64
A Creature Was Stirring,family,6.1,53,91
A Day with Santa,family,6.1,53,95
A Game of Two Halves,family,7.1,25,100
A Hero's Journey: The Making of Percy Jackson and the Olympians,family,7.4,254,95
A Holiday for Harmony,family,3.6,37,120
A House Without a Father,family,6.2,34,61
A Nashville Wish,family,5.6,98,102
A Sloth Story,family,5.6,240,90
A Sudden Case of Christmas,family,5.1,12,91
Aamar Boss,family,8.7,535,139
Aanandhapuram Diaries,family,6.9,27,115
Abar Amra Eksathe,family,6.1,53,95
Agrico's,family,8.8,1,95
"Akiko, der fliegende Affe",family,5.5,33,70
Al Eid Eiden,family,5.6,13,110
Alchemist,family,6.1,53,95
Alfred and His Mischiefs,family,6.1,53,99
Alive & Free,family,6.1,53,91
Amaltash,family,8.0,157,113
And the Breadwinner Is...,family,6.0,464,123
Ani-Mom,family,6.1,53,65
Animal Tales of Christmas Magic,family,6.8,52,72
Appa I Love You,family,8.7,543,145
Arne Alligator och djungelkompisarna,family,4.7,51,61
Askepote,family,3.5,86,72
Astronaut Dreams,family,6.1,53,95
Autumn and the Black Jaguar,family,5.6,11,100
Average Joe,family,4.3,599,100
Awesomest Christmas Ever,family,6.5,24,78
Baawla,family,6.1,53,95
Baba Yaga spasaet Novyy god,family,4.3,124,99
Babah,family,6.5,190,129
Babar Barir Shompotti,family,6.1,53,95
Baby Halloween,family,6.1,53,66
Bade Ghar Ki Bahu,family,8.2,6,95
Badhai Debe Aaiba Na,family,6.1,53,95
Baii Ga,family,4.1,68,134
Bambi: A Tale of Life in the Woods,family,5.6,266,78
Bayramlik,family,4.7,67,114
BeBe Winans' We Three Kings,family,6.9,133,90
Believe in Christmas,family,6.1,860,90
Benih,family,6.1,53,95
Beyaz Zenciler: Yapim Asamasi,family,8.6,5,95
Bhabhi Ki Barat,family,6.1,53,95
Bibi Rajni,family,8.5,744,143
Big City Greens the Movie: Spacecation,family,6.2,587,83
Big World,family,7.3,15,131
Bigfoot in Wonderland,family,6.1,53,61
Bila Esok Ibu Tiada,family,6.7,363,104
Bitva pap,family,4.3,27,79
Blended Christmas,family,6.2,67,95
Bob a Bobek ve filmu: Na stope Mrkvojeda,family,7.1,33,80
Boom!,family,8.3,11,90
Borjatri,family,8.4,6,72
Boro Bhaiyer Eid Nai,family,6.1,53,95
Bouer Dosh,family,6.1,53,95
Bremenskie muzykanty,family,4.6,711,115
Brewster's Millions: Christmas,family,5.6,199,100
Brother,family,6.1,23,140
Buffalo Kids,family,6.6,778,93
"But First, Coffee",family,6.1,53,95
Børnene fra Sølvgade,family,6.8,130,102
CBeebies Panto: Beauty and the Beast,family,7.4,17,73
Candlelight My Way,family,6.1,53,95
Captain Avispa,family,5.7,181,96
Carol,family,7.7,53,115
Chatri Bou,family,6.1,53,95
Chhota Bheem and the Curse of Damyaan,family,4.8,23,145
Chicken Coop,family,5.9,92,98
Childhood Tales,family,7.3,22,63
Chithini,family,5.9,553,151
Chitra,family,7.1,18,125
Chitti - Potti,family,9.1,17,150
Chosen: The Stage Play,family,6.1,53,95
Christian Growth Through Hymns,family,6.1,53,95
Christmas Carole,family,4.0,108,93
Christmas with the Pups 2: Pups Alone,family,4.4,16,95
Chuck Billy and the Marvelous Guava Tree,family,7.4,12,90
Crayon Shin-chan: Our Dinosaur Diary,family,6.6,614,106
Cricket,family,8.0,16,95
Cup,family,8.6,85,146
Cupcake's,family,6.1,53,95
Daaru Na Peenda Hove,family,7.5,23,111
Daddy's Love,family,6.1,53,95
Dalia and the Red Book,family,5.9,155,107
Dance,family,3.2,69,95
Dance Rivals,family,5.9,75,93
Dastaavej,family,6.1,53,140
Day of the Diesels,family,6.9,11,100
Daye: Seret ahl el Daye,family,7.7,20,104
De Bellinga's: Pretpark op stelten,family,3.0,133,70
De Club van Sinterklaas Film: Het Grote Sneeuwavontuur,family,5.8,51,79
De Grote Sinterklaasfilm - Stampij in de bakkerij,family,3.2,79,75
De Legende van Familie Vos,family,5.6,60,81
DeAr,family,5.1,15,132
Dear Family,family,6.7,69,116
Dedh Bigha Zameen,family,6.9,774,100
Depth of Field,family,8.0,37,95
Der Buchspazierer,family,7.2,519,98
Descendants: The Rise of Red,family,4.7,73,91
Despicable Me 4,family,6.2,69,94
Destiny or Will. Marusia,family,8.8,20,95
Die Chaosschwestern und Pinguin Paul,family,5.6,74,100
"Die Heinzels: Neue Mützen, Neue Mission",family,6.0,106,76
Diego of the Dead 2,family,6.1,53,60
Dikkie Dik 2: Een Nieuwe Vriend voor Dikkie Dik,family,7.4,76,70
Dikkie Dik en de Verdwenen Knuffel,family,7.2,133,62
Diplodocus,family,6.4,200,93
Disaster Holiday,family,4.9,757,93
Diwani,family,6.1,53,95
Dog Days,family,6.7,332,120
Domovyonok Kuzya,family,6.3,849,90
Dongeng Sang Kancil,family,6.6,225,99
Doraemon the Movie: Nobita's Earth Symphony,family,6.6,16,115
Double Engine,family,5.5,117,106
Double Tuckerr,family,5.0,13,120
Dream 1,family,6.1,53,95
Ducobu passe au vert!,family,4.0,136,90
Early Years (xiao shi hou),family,6.1,53,95
Echoes of Betrayal,family,6.1,53,95
