Title,Genre,Ratings,Vote_Counts,Runtime
A Very Merry TV Adventure,musical,6.6,52,100
Aida,musical,6.6,52,165
Amaltash,musical,8.0,157,113
Anavitória COR,musical,6.6,52,69
Anbenum Peruveli,musical,6.6,52,90
"Angela Aguilar, Bolero: Documental",musical,2.9,13,100
Artistic Pressure,musical,6.6,52,100
Aum Penjor,musical,6.6,52,138
Before Time Stopped with Flipstyle,musical,6.6,52,66
Benjamin,musical,6.6,52,60
Benjamin Bat,musical,7.9,34,75
Better Man,musical,7.6,33,135
Between the Lines,musical,8.8,17,100
Bonnie and Clyde: The Musical,musical,7.6,109,150
Bring on the Damned!,musical,8.3,10,114
Broken Glass,musical,6.6,52,100
"Bryson, the Demon Slayer",musical,4.4,12,100
Call Me Agnes,musical,6.9,20,94
CameraChild,musical,6.6,52,100
Canciones con Historia. Fonseca,musical,5.4,6,100
Captain Avispa,musical,5.7,181,96
Carol,musical,7.7,53,115
Chainsaws Were Singing,musical,7.2,386,117
Chicago the Musical - Adderley 2024 Advanced Conservatory at El Portal Theatre,musical,6.6,52,100
Cirkus Summarum 2024,musical,6.6,52,100
Civil Christmas,musical,4.1,48,100
DJ Marwar,musical,6.8,21,100
Dans la cuisine des Nguyen,musical,7.1,86,99
Dante's Divine Comedy,musical,6.6,52,100
Dappankuthu,musical,6.6,52,100
De la Doina la Rembetiko,musical,6.6,52,100
Descendants: The Rise of Red,musical,4.7,73,91
Despierta tu alma,musical,6.6,52,100
Disney's the Lion King 30th Anniversary Tribute Special,musical,6.6,52,100
Dongeng Sang Kancil,musical,6.6,225,99
Dream Academy,musical,6.6,52,100
Dynamite,musical,6.6,52,60
Eating Me Up,musical,8.1,297,104
Eco Village,musical,6.8,23,100
El Salto,musical,6.6,52,100
El Sobreviviente Elizalde,musical,6.8,19,100
El musical de los 80s y los 90s. La película,musical,6.7,9,80
Emilia Pérez,musical,5.4,91,132
Even Sally,musical,6.6,52,100
Everybody Loves Touda,musical,6.4,502,102
Explaining Elizabeth,musical,6.6,52,100
First Nights at Freddy's,musical,9.4,19,98
Fox & Hare Save the Forest,musical,5.9,223,71
Freydís and Gudrid,musical,6.6,52,100
From Corinne's Heart,musical,6.6,52,100
Ga Mere Maan Ga,musical,6.6,52,100
Gaga Chromatica Ball,musical,8.1,21,117
HP for Ever,musical,6.6,52,89
Harmonie,musical,6.6,52,74
Headhunting to Beatboxing,musical,6.6,52,62
Heart Strings,musical,5.5,13,107
Heartbreak in August,musical,6.6,52,100
Hero: Live in Cinema,musical,6.6,52,159
Het Feest van Tante Rita 2 - De Chocobom,musical,6.5,23,100
Hoje é Dia Das Crianças,musical,6.6,52,100
Hov1 4-ever,musical,6.4,75,92
How Could I Live Without You?,musical,6.9,11,105
Idade Da Pedra,musical,6.6,52,70
Incident at Panther Hills: Bigfoot's Return,musical,6.6,52,100
Indian 2,musical,3.8,17,100
Isang himala,musical,6.8,53,145
Ishq Mubarak,musical,6.6,52,100
Ishttaragam,musical,9.1,114,100
Iyus Jenius,musical,9.0,9,82
Jakkotai,musical,6.6,52,100
Jane Eyre,musical,6.6,52,100
Jesterpus: A Musical Comedy of Horrors,musical,6.6,52,80
Joker: Folie à Deux,musical,5.2,166,138
Joli joli,musical,5.4,141,116
K Cheloveku Ryadom,musical,6.6,52,100
Kajolrekha,musical,6.3,196,156
"Katarina, ili Doch razboynika",musical,6.6,52,157
Keo=peul-ji-ok,musical,5.6,8,94
"Kiss Me, Kate: The Musical",musical,7.5,91,161
Koorzang,musical,6.6,52,100
KorimDick,musical,8.5,7,100
Korsar,musical,6.6,52,94
Krispy Rishtey,musical,6.4,71,133
Kseukul,musical,6.6,52,120
La banda del pati,musical,6.6,52,100
La sorto gvidos vin,musical,6.6,52,100
La vie fantastique,musical,6.6,52,79
Life with Quincy 3,musical,6.6,52,73
Log Log Land,musical,6.6,52,100
Lokananta,musical,6.6,13,100
Love Finally the Musical,musical,6.6,52,100
Línguas de Fogo,musical,6.6,52,69
Magic,musical,6.6,52,90
Magic,musical,6.6,52,100
Maria Callas,musical,6.6,52,60
Mean Girls,musical,5.5,38,112
Message in a Bottle,musical,6.6,52,100
Mezhdu nami leto,musical,5.7,56,113
Moana 2,musical,6.5,110,100
Mom's Coming,musical,6.6,52,122
Mondongo: Kunst der Farbe,musical,5.4,5,90
Mrs. Green Apple: The White Lounge,musical,6.6,52,89
Mufasa: The Lion King,musical,6.6,72,118
My Favourite Things: The Rodgers & Hammerstein 80th Anniversary Concert,musical,7.8,72,100
Nature Cat's Nature Movie Special Extraordinaire,musical,7.3,20,100
Navidad Catracha 2: El Origen,musical,6.6,52,100
Noah's Ark,musical,4.3,706,96
Noch pered Rozhdestvom,musical,6.6,52,80
OL Brooklyn Vol 3,musical,6.6,52,100
Once upon a bridge in Vietnam,musical,6.6,52,100
Onde está o amor? As fitas perdidas,musical,6.6,52,100
Pattaapakal,musical,2.6,228,104
Peaceful Lights,musical,9.4,20,86
Peas and Carrots,musical,6.6,52,96
Petta Rap,musical,3.9,17,123
Piece by Piece,musical,6.9,62,93
Point of the Pen,musical,6.6,52,100
Polvo serán,musical,6.7,310,106
Pérolas de Cuba,musical,6.6,52,60
Queens of Drama,musical,6.2,219,114
Rangde,musical,8.5,7,143
Richard II,musical,6.6,52,138
Safe and Sound,musical,6.6,52,105
Salvation,musical,6.6,52,74
Sanguche Caliente,musical,6.6,52,100
Sem vergonha,musical,6.6,52,100
Seraphim: The Motion Picture,musical,6.6,52,72
Sevilskiy tsiryulnik,musical,6.6,52,155
"Señor Jazz, la película de Carlos Inzillo",musical,6.6,52,82
Shahid,musical,6.5,84,84
Shannon Matthews the Musical the Movie,musical,7.5,209,91
Sight & Sound Presents: Daniel LIVE,musical,8.9,25,100
Sisters and Neighbors!,musical,6.4,202,105
Soldier of Love,musical,6.6,52,100
Solo Town,musical,6.4,25,103
Something in the Game,musical,6.6,52,132
Sooryavansham,musical,4.9,118,137
Spellbound,musical,5.5,8,109
Spermageddon,musical,5.6,11,80
Spyashchaya krasavitsa,musical,6.6,52,133
Stiffelio,musical,6.6,52,113
Stinney: An American Execution,musical,6.6,52,100
Susquehanna Stage's Grease: Youth and Teen Production,musical,6.6,52,100
Swan Lake from English National Ballet,musical,6.6,52,100
Sweet Palm Wine,musical,6.6,52,100
Teen Musical Director's Cut,musical,6.6,52,100
The Best Friend,musical,6.4,140,96
The Brink Of,musical,8.5,57,100
The Clashing Elements: Saviors of the Multiverse,musical,7.2,9,91
The Deb,musical,7.4,73,121
The End,musical,5.5,23,148
The Good Loan Sharks,musical,4.9,74,122
The Invisible - Agents of Ungentlemanly Warfare,musical,6.6,52,134
The Just in Case Child,musical,6.6,52,100
The Merry Gentlemen,musical,4.8,10,87
The Night Before Christmas in Wonderland,musical,6.3,527,80
The Opera! Arie per un'eclissi,musical,6.3,133,106
The Premiere,musical,8.5,18,106
The Royal Ballet: Swan Lake,musical,6.6,52,195
Thelma the Unicorn,musical,5.7,31,93
Theodor,musical,6.6,52,120
This Is Me... Now,musical,4.1,72,65
Tradition,musical,6.6,52,148
Trapezium,musical,6.2,167,95
Tu Mo Kamzori,musical,6.6,52,100
Under Streetlights,musical,9.0,17,90
Under the Overpass and Far Away,musical,6.6,52,97
Unsung Birds,musical,6.6,52,100
Varshangalkku Shesham,musical,6.6,42,166
Victory,musical,6.5,343,120
Waiting for the Kick,musical,6.6,52,87
