Title,Genre,Ratings,Vote_Counts,Runtime
#AMFAD: All My Friends Are Dead,mystery,4.5,13,91
#Models Wanted,mystery,8.5,33,97
"...Mayombe, Paula?",mystery,6.0,41,97
10 Days of a Curious Man,mystery,5.7,14,110
10/31 Part 4,mystery,5.5,18,87
1999 Hiraeth,mystery,6.0,41,104
200KG Vampire,mystery,4.0,62,93
21.4,mystery,6.0,41,112
7 Vidas,mystery,6.0,41,80
7/G,mystery,4.3,642,140
9 Windows,mystery,3.6,327,82
A Coffin of Stars,mystery,5.2,6,100
A Cold Grave,mystery,3.5,277,75
A Girl Upstairs,mystery,6.4,47,90
A Herança,mystery,5.3,242,80
A Knife in the Dark,mystery,3.2,90,76
A Place Called Silence,mystery,6.5,14,119
A Question of Guilt,mystery,6.5,21,97
A Sacrifice,mystery,5.0,58,94
A Second Glance,mystery,6.0,41,97
A Song from the Dark,mystery,4.9,22,105
A Strange House,mystery,5.3,379,110
A Stranger in the Woods,mystery,4.9,708,83
A Stranger's Child,mystery,5.4,135,88
A Thousand Cuts,mystery,6.0,41,97
A Woman with a Wooden Cart,mystery,5.6,9,97
A kiút,mystery,9.6,60,97
About a Hero,mystery,6.4,50,84
Abraham Ozler,mystery,6.6,43,143
Absolution,mystery,5.2,9,112
Acceleration Horology,mystery,6.0,41,97
Adopt me All hallows Eve II,mystery,6.0,41,97
Advent,mystery,7.5,6,119
Afraid,mystery,5.2,15,84
Aftermath,mystery,5.2,44,78
Agastya - Chapter 1,mystery,6.6,628,168
Aladiner Prodeepe Jevabe Doittyo Elo,mystery,8.6,10,97
Algiers,mystery,7.8,69,93
Aliens Uncovered: The Land of Legends,mystery,8.3,11,97
Aliens Uncovered: The Thunder God,mystery,7.2,11,97
Aliens Uncovered: UFOs Over Arizona,mystery,7.3,20,116
All Suspects,mystery,3.6,20,96
American Dirge,mystery,9.6,5,81
American Star,mystery,5.5,26,107
Amityville Turkey Day,mystery,3.1,362,94
Amp House Massacre,mystery,3.8,193,80
An Adventure into Oblivion,mystery,6.0,41,97
An Angel Knocking on My Door,mystery,6.0,41,60
An Intruder Among Us,mystery,9.4,20,97
An Ordinary Killer,mystery,6.0,41,97
Anak Perjanjian Syaitan 2,mystery,6.4,34,89
Andhagan,mystery,6.6,12,142
Anno 2020,mystery,8.6,25,145
Anomalous Tomsk: Nightmare,mystery,6.0,41,93
Anweshippin Kandethum,mystery,7.4,11,142
Apatiya,mystery,6.9,52,97
Aquele que Viu o Abismo,mystery,6.0,41,70
Aranyar Prachin Probad,mystery,6.6,17,123
Arcadia,mystery,6.9,524,99
Artificial Evil Awakens,mystery,9.1,11,63
Aru Tozasareta Yuki no Sanso de,mystery,5.1,146,109
Asesinos Notables,mystery,6.0,41,97
Asher and Ruth,mystery,6.0,41,63
Astrid's Saints,mystery,7.2,10,97
At Her Feet,mystery,7.8,64,100
At Sea,mystery,6.0,41,67
Athomugam,mystery,7.0,649,130
AusWeg,mystery,8.6,41,97
Backfire,mystery,6.0,41,97
Badland Hunters,mystery,5.9,13,107
Bahirbhoomi,mystery,4.0,11,120
Bambara Wasanthe,mystery,6.0,41,101
Barzakh,mystery,6.0,41,84
Batchack Man - The Peacemakers,mystery,6.0,41,90
Bato: Road to Death,mystery,5.4,776,137
Behave,mystery,3.2,181,88
Believer,mystery,4.6,435,108
Beline,mystery,5.5,13,88
Belyy parokhod,mystery,7.7,6,97
Best Man Dead Man,mystery,7.3,42,83
Bet on Black,mystery,6.0,41,97
Bhagirathi Missing,mystery,6.0,41,97
Bhediya: The Hunter,mystery,6.0,41,125
Bhoothaddam Bhaskar Narayana,mystery,6.2,293,141
Bigul,mystery,8.8,56,144
Birthmark,mystery,4.5,192,117
Biswas Villa-An Unfinished Story,mystery,8.6,21,97
Black,mystery,7.1,29,115
Black Game Night,mystery,6.0,41,97
Black.White.Red.,mystery,7.8,25,93
Blackwater Lane,mystery,4.6,23,108
Blink Twice,mystery,6.5,112,102
Bloodline Killer,mystery,4.3,52,105
Blue Caveman,mystery,6.0,41,97
Blue Christmas,mystery,5.8,21,79
Bo Nan Za,mystery,9.1,29,61
Bob & Milo,mystery,6.0,41,97
Bodiless,mystery,5.7,11,90
Bone Lake,mystery,6.0,41,94
Boneyard,mystery,4.1,52,96
Borderless Fog,mystery,5.2,13,110
Bougainvillea,mystery,6.4,34,138
Boxes (or) The Next Life of Brian,mystery,6.0,41,97
Bragow,mystery,6.0,41,120
Brief History of a Family,mystery,6.7,438,100
Burning Butterflies,mystery,7.9,90,103
Buying Time,mystery,6.5,506,84
By Day They Meet with Darkness,mystery,6.0,41,97
Caddo Lake,mystery,6.8,46,103
Campton Manor,mystery,3.4,245,83
Candlelight My Way,mystery,6.0,41,95
Carnage for Christmas,mystery,4.5,350,69
Case 19: Vichchhiya,mystery,6.0,41,97
Cellphone,mystery,3.0,749,88
Chaalchitro: The Frame Fatale,mystery,6.4,924,124
Chandranum Policeum,mystery,8.5,581,113
Changle zhen gui shi,mystery,6.0,41,88
Chapel,mystery,3.2,200,92
Chapter 51,mystery,6.0,41,120
Cheat,mystery,4.1,220,105
Chithini,mystery,5.9,553,151
Churul,mystery,9.2,195,104
Cidade; Campo,mystery,6.2,150,119
Cinderella's Curse,mystery,3.4,14,82
Cinderella's Revenge,mystery,3.7,12,85
Cities That Live... Die ...Berlin,mystery,6.0,41,97
City Hunter,mystery,6.3,58,102
Classified,mystery,3.7,28,105
ClearMind,mystery,4.1,22,85
Cloud Chamber,mystery,6.0,41,114
Cloud Chamber: The Folded World,mystery,6.0,41,103
Clownface 3,mystery,9.5,41,104
Cluedo,mystery,6.0,41,78
Cold Blows the Wind,mystery,5.7,804,85
Colors of Evil: Red,mystery,6.4,87,111
Combat Code: Hunt,mystery,7.7,20,76
Cora,mystery,6.2,21,97
Corridor,mystery,6.0,9,108
Cose nere,mystery,6.0,41,83
Cramp My Style,mystery,6.0,41,97
Creatures of Habit,mystery,6.0,41,97
Crescent City,mystery,3.9,15,103
Crew Without a Clue,mystery,6.0,41,113
Crime by Design,mystery,6.0,41,97
Crossroad,mystery,8.2,12,97
Cuckoo,mystery,5.7,29,102
Cult Killer,mystery,4.8,29,105
DNA,mystery,5.1,218,156
Daft State,mystery,6.3,51,97
Dai jia fa de ren,mystery,5.4,60,121
Daitya,mystery,7.1,9,101
Damaged,mystery,4.7,76,97
Dan Da Dan: First Encounter,mystery,8.2,3,83
Dancing Village: The Curse Begins,mystery,5.7,42,122
Danger Zone,mystery,8.7,6,122
Danger in the Dorm,mystery,5.0,165,86
Dank Frank,mystery,6.0,41,83
Danyang Mahar Tukar Nyawa,mystery,5.9,10,110
Darah Nyai,mystery,6.0,41,90
Dark Deceptions,mystery,6.2,36,82
Dark Feathers: Dance of the Geisha,mystery,6.3,11,93
Dark Night of the Soul,mystery,3.2,171,81
Dave Gentic & Headgun,mystery,6.0,41,97
Dead Boys Club,mystery,6.3,26,105
Dead Dead Full Dead,mystery,6.6,14,110
Dead Man,mystery,5.1,216,109
Deadly Invitations,mystery,4.1,185,89
Demons vs. Ghosts,mystery,7.7,7,92
Depravity,mystery,4.3,11,117
Der Bote,mystery,8.6,9,97
Detained,mystery,4.9,19,97
Detective Conan: The Million-Dollar Pentagram,mystery,6.7,16,111
Deux hommes un destin,mystery,6.0,41,94
Dharma Daiva,mystery,7.8,26,112
Dhusar Pandulipi,mystery,6.0,41,97
Di Ren Jie Zhi Kang Long You Hui,mystery,6.0,41,97
Di Renjie: Tongtian xuan an,mystery,7.1,19,85
Die Alone,mystery,5.8,4,90
Dindin,mystery,6.0,41,76
Dirty Boy,mystery,7.8,35,98
Dirty Thirty,mystery,6.0,41,96
Dismissed,mystery,7.7,109,91
"Disrupted Expectations 4: Art, Words, and Mind Powers",mystery,6.0,41,93
Do Patti,mystery,6.4,69,126
Doctor X: The Movie,mystery,7.9,62,128
Don't Look Back... I Know Your Origins,mystery,3.6,113,104
Don't Open the Box,mystery,7.0,9,97
Dont,mystery,6.0,41,97
Donto Rohoshyo,mystery,6.0,41,137
Dr. Jason II - Lights & Shadows,mystery,4.9,331,62
Dragoons,mystery,6.0,41,77
DreadClub: Vampire's Verdict,mystery,4.8,63,88
Dream Lock,mystery,8.6,23,100
Dream Thief,mystery,6.0,41,97
Dream of Deceit,mystery,6.0,41,97
Drive,mystery,5.6,365,90
Drive Back,mystery,4.5,652,94
Drugstore June,mystery,5.4,18,91
Duplicitous Minds,mystery,6.0,41,97
Durga,mystery,8.6,173,134
Døde menn går på ski,mystery,5.2,335,89
El Juego Del Poder,mystery,8.0,11,95
El Portal,mystery,6.0,41,97
El banquete,mystery,6.0,41,78
Ellige Payana Yavudo Daari,mystery,8.2,257,134
Endgame,mystery,6.0,41,97
Entre Paris et Leuven,mystery,6.0,41,107
Exhuma,mystery,6.9,25,134
Exipsosi,mystery,6.0,41,97
F*** Marry Kill,mystery,5.3,32,97
Family Guy Plush: Peter Is Afraid,mystery,6.0,41,109
Fanum: Ombre dal passato,mystery,6.0,41,97
Faultline,mystery,4.7,143,92
Fidan,mystery,7.1,78,97
Final Girl: Halloween,mystery,4.7,110,85
First Nights at Freddy's,mystery,9.4,19,98
First Person Savior,mystery,4.9,12,81
Five Nights at Freddy's Minecraft Roleplay Movie,mystery,6.0,41,84
Flashlight,mystery,4.8,12,77
Flesh of the Unforgiven,mystery,9.1,44,88
Flick Flick 8,mystery,6.0,41,284
Following,mystery,6.5,14,102
Force of Nature: The Dry 2,mystery,5.8,75,120
Foreclosure 2,mystery,3.1,144,77
Fragmentos de Olvido,mystery,6.0,41,94
Frankenstein in the Mirror,mystery,6.0,41,60
Free Falling,mystery,5.2,305,89
From Darkness,mystery,4.9,594,95
Frozen Run,mystery,6.0,41,91
Gaami,mystery,6.3,21,147
Gazer,mystery,6.0,202,114
Ghost Train,mystery,6.0,41,94
Ghubar,mystery,6.0,41,97
Giant fish,mystery,6.0,41,84
Gizmo,mystery,6.0,41,77
Glass Casa,mystery,7.7,50,106
Go Away,mystery,4.2,215,97
God Vs AI,mystery,6.0,41,97
Going South,mystery,6.0,41,82
Golam,mystery,7.2,6,120
Gossip to Die For,mystery,5.2,85,94
Granny,mystery,8.0,7,97
Grayson's Encounter,mystery,7.3,22,70
Green,mystery,6.0,41,97
Gregório & as Patricinhas,mystery,6.0,41,97
Grimmwood,mystery,7.4,11,97
Guadalupe: Mother of Humanity,mystery,7.0,41,102
Guess Who,mystery,4.8,374,93
Guess Who,mystery,6.0,41,97
Gunehegaar,mystery,6.0,41,68
Gunfighter Paradise,mystery,8.8,18,97
Halloween: The Evil of Michael Myers,mystery,6.0,41,97
Hammitt,mystery,6.0,41,70
Handling the Undead,mystery,5.3,46,97
Haunting Trophies,mystery,6.1,87,150
Haze,mystery,6.4,52,76
Haze,mystery,6.0,41,97
Held Hostage in My House,mystery,4.7,148,90
Hellboy: The Crooked Man,mystery,4.5,15,99
Hello Neighbor,mystery,7.9,17,97
Heresy,mystery,6.9,316,61
Hi8 Resurrectio Director's Cut,mystery,6.0,41,77
Hidden Face,mystery,6.1,622,115
Hidden Memories,mystery,5.9,31,84
History of Halloween,mystery,6.0,41,97
Homeboy,mystery,6.5,23,97
Hometown Mysteries: A Farmhouse Murder,mystery,6.0,41,106
Hood Safari,mystery,6.0,41,71
Horror in the High Desert 3: Firewatch,mystery,5.4,764,88
House of Lies,mystery,3.7,189,82
Housekeeping,mystery,6.0,41,98
Huggin Molly,mystery,6.0,86,97
Hunters on a White Field,mystery,4.9,464,100
Hunting Daze,mystery,6.1,472,79
Hunting Matthew Nichols,mystery,8.8,45,96
Husna,mystery,6.0,41,150
Hypno,mystery,6.0,41,75
I Married as the Replacement Bride,mystery,7.4,40,97
I Saw the TV Glow,mystery,5.8,38,100
"I'm Okay, We're Okay",mystery,6.7,6,107
Ictus: Paciente Cero,mystery,6.0,41,97
Idealnaya zhertva,mystery,8.2,7,92
Imaginary,mystery,4.7,18,104
Imperfection,mystery,6.0,41,71
In Our Blood,mystery,6.9,52,89
In Unison,mystery,6.0,41,100
Infrastrata,mystery,6.0,41,65
Inheritance,mystery,5.1,37,94
Inquietus,mystery,7.0,7,97
Insane Like Me?,mystery,4.5,56,86
Inti Number 13,mystery,7.6,11,127
Into the Box,mystery,7.4,9,96
Intuition,mystery,6.0,41,97
It's Not the Time,mystery,6.6,22,78
It's What's Inside,mystery,6.6,44,103
Ithuvare,mystery,5.4,27,129
Its Name Was Mormo,mystery,3.6,160,93
"Ivan Shade, Undead P.I.",mystery,6.0,41,97
Jin Qian Bao Lei,mystery,4.0,16,97
Joy Hanu Man,mystery,8.9,27,143
Juror #2,mystery,7.0,105,114
Kadhai,mystery,9.2,33,100
Kaljiga,mystery,8.3,43,114
Kalponik,mystery,9.1,13,97
Kamilota,mystery,6.0,41,97
Karina,mystery,6.3,50,90
Karma,mystery,7.9,15,167
Karma's a Bitch,mystery,4.5,43,89
Katabasis,mystery,7.3,35,97
Kaya,mystery,6.0,41,97
Keeper of the Reel,mystery,6.0,41,97
Khoroshie devochki,mystery,8.5,7,91
Killer Body Count,mystery,4.7,685,109
Killer Heat,mystery,5.6,14,95
Killer Influence,mystery,2.6,330,84
Killerwood,mystery,6.6,68,84
King Saud,mystery,7.6,13,100
Kinoplenka N8,mystery,4.3,59,110
Kishkindha Kaandam,mystery,8.0,13,133
Kizumonogatari: Koyomi Vamp,mystery,7.0,111,144
Kondal,mystery,5.3,801,147
Korsakoff,mystery,6.0,41,100
Kryptic,mystery,4.1,622,102
Kuramerukagari,mystery,5.8,89,61
Kurukku,mystery,6.3,541,109
L'Aigle Du Vieux-Moulin,mystery,6.0,41,97
L.I.F.E.,mystery,4.1,31,108
LOST: Avalon Station,mystery,6.0,41,97
LUDA,mystery,7.2,6,86
La función,mystery,5.7,8,93
La volpe e l'uva,mystery,6.0,41,105
Lacerta,mystery,6.0,41,97
LasseMajas detektivbyrå - Maskoten som försvann,mystery,5.9,68,90
Last Party,mystery,8.4,21,97
Last Stop: Rocafort St.,mystery,4.1,500,89
Le discours des songes,mystery,6.0,41,70
Lealtad o Morir,mystery,8.4,10,87
Learn to Love Death,mystery,6.0,41,97
Leatherbound,mystery,8.0,8,97
Like Aani Subscribe,mystery,7.2,62,140
Lipstick on the Glass,mystery,4.1,13,116
Live or Dead: The García File,mystery,6.5,93,84
Long Gone Heroes,mystery,5.1,13,101
Longlegs,mystery,6.6,194,101
Los Alamos,mystery,6.0,41,91
Los capítulos perdidos,mystery,6.9,16,68
Los visitados,mystery,7.6,5,97
Lotus,mystery,7.0,39,117
Love Lies Bleeding,mystery,6.6,59,104
Luk Thep Tom 3,mystery,6.0,41,70
Lunacy,mystery,5.0,63,77
Luo Hua Dong Xin Niang,mystery,6.0,41,97
Mad Dreams,mystery,6.0,41,83
Maid to Kill,mystery,6.0,41,91
Malam Keramat,mystery,6.0,33,90
Mannequin,mystery,6.5,118,97
Math,mystery,6.0,41,97
Meitantei Conan Bâsasu Kaitô Kiddo,mystery,6.1,173,81
Melodies of a Sugar-Coated Blade,mystery,6.0,41,97
Memes & Nightmares,mystery,5.7,92,81
Merry Christmas,mystery,6.9,30,144
Mesken (Messuage),mystery,7.4,45,102
Messpsycho Evil,mystery,6.0,41,97
Mezhdu nami,mystery,5.1,36,93
Mi an Xun Xiong,mystery,6.0,41,97
Mid West,mystery,6.0,41,97
Midnight Express,mystery,6.0,41,64
Midnight Taxi,mystery,5.2,114,97
Midnight at the Limbo Lounge,mystery,6.0,41,97
Miller,mystery,6.0,41,84
Mion,mystery,6.0,41,66
Miss PJ,mystery,5.4,65,115
Misteri Bilik Korek Api,mystery,6.3,8,73
Mononoke the Movie: The Phantom in the Rain,mystery,6.7,14,89
Monster Summer,mystery,5.7,43,97
Morena,mystery,5.4,125,106
Mother's Kingdom,mystery,6.8,14,97
Mountain Guardians,mystery,6.0,41,82
Moyurakkhi,mystery,8.0,5,96
Mr. K,mystery,5.5,11,94
Mr. Stones,mystery,6.0,41,97
"Munaa, the legend (Part1)",mystery,6.0,41,97
Murder Mubarak,mystery,5.8,51,140
Murder and Cocktails,mystery,3.9,370,88
Murder at Rough Point,mystery,6.0,41,71
Muroi Shinji: Yaburezaru Mono,mystery,6.6,21,115
My Husband Hired a Hitman,mystery,4.6,91,92
Mystery Creek,mystery,6.0,41,114
Mystic Odyssey,mystery,6.0,41,144
Nasibpura,mystery,6.0,10,97
Nature Cat's Nature Movie Special Extraordinaire,mystery,7.3,20,97
Nayan Rahasya,mystery,4.8,172,114
Next to Us,mystery,4.8,229,125
Nico,mystery,8.2,49,109
Night Demon,mystery,6.0,41,60
Night Swim,mystery,4.7,28,98
Nosce Te Ipsum Part Four,mystery,6.0,41,141
Nosferatu,mystery,7.2,213,132
Not One and Not Two,mystery,5.6,6,72
Not Your Average Family,mystery,5.5,118,97
O Clube das Mulheres de Negócios,mystery,4.7,111,95
Octopus with Broken Arms,mystery,6.1,329,109
Odile: Opening before Christmas,mystery,6.6,17,97
Okhota na russkogo geniya,mystery,5.1,12,71
Once Passed On,mystery,6.6,7,91
Once Upon a Time in China,mystery,6.0,41,82
Orion and the Dark,mystery,6.3,18,93
Oro Negro,mystery,6.0,41,97
Oshi no Ko: The Final Act,mystery,6.1,190,129
Outbreak,mystery,4.4,12,88
Paddington in Peru,mystery,6.7,26,106
Painted Smile,mystery,6.0,41,97
