Title,Genre,Ratings,Vote_Counts,Runtime
#AMFAD: All My Friends Are Dead,thriller,4.5,13,91
'Descontrol',thriller,6.0,45,99
"...Mayombe, Paula?",thriller,6.0,45,99
1 Million Followers,thriller,4.7,765,101
10 Days of a Curious Man,thriller,5.7,14,110
10/31 Part 4,thriller,5.5,18,87
105 Minutes,thriller,4.1,23,120
10FT Down,thriller,6.4,26,98
11 Rebels,thriller,6.3,731,155
1134,thriller,6.3,13,103
12 to Midnight,thriller,3.6,300,96
13th Summer,thriller,4.3,182,96
1978,thriller,5.2,604,76
2 Days in Quito,thriller,6.0,45,124
2029,thriller,5.4,9,99
2073,thriller,5.1,33,85
26 January,thriller,6.0,45,99
2B Honest,thriller,4.1,109,125
30 to 45,thriller,6.0,45,118
31st Movie,thriller,9.6,19,145
37 : L'ombre et la proie,thriller,5.8,151,93
3Devi,thriller,9.0,22,126
40 Acres,thriller,6.9,490,113
4N6,thriller,9.6,62,117
4PM,thriller,5.6,207,111
5lbs of Pressure,thriller,5.2,17,111
7 Keys,thriller,6.2,33,93
72 Hours,thriller,4.0,337,87
8PM to 8AM,thriller,6.0,45,99
9 Windows,thriller,3.6,327,82
A Christmas Gamble,thriller,7.2,28,99
A Coffin of Stars,thriller,5.2,6,100
A Cold Grave,thriller,3.5,277,75
A Dangerous Prey,thriller,6.7,67,99
A Day for Driving,thriller,6.0,45,78
A Desert,thriller,5.8,386,103
A Different Man,thriller,6.9,32,112
A Fisherman's Tale,thriller,6.0,145,103
A Girl with Closed Eyes,thriller,5.9,51,105
A Good Man 2,thriller,6.5,59,99
A Hot Mess,thriller,6.0,45,99
A Killer Inside,thriller,6.0,45,99
A Killer in the House,thriller,2.6,163,90
A Knife in the Dark,thriller,3.2,90,76
A Man is Dead,thriller,6.0,45,99
A Mensageira,thriller,6.0,45,142
A Mirror of Deception,thriller,7.2,24,87
A Mistake,thriller,5.6,11,101
A Nanny's Revenge,thriller,4.1,174,90
A Quiet Place: Day One,thriller,6.3,156,99
A Sacrifice,thriller,5.0,58,94
A Savior Red,thriller,5.1,270,87
A Silent Crime,thriller,6.0,45,99
A Strange House,thriller,5.3,379,110
A Stranger by the Hill,thriller,6.0,45,100
A Stranger's Child,thriller,5.4,135,88
A Szobor,thriller,6.0,45,99
A Vanished Puppet,thriller,6.0,45,85
A Widow Seduced,thriller,5.0,187,82
A kiút,thriller,9.6,60,99
A yard of jackals,thriller,7.2,42,108
