Title,Genre,Ratings,Vote_Counts,Runtime
200% Wolf,adventure,5.9,13,98
23 Horas,adventure,7.0,21,94
7 Day Fast,adventure,6.0,49,94
76 Days Adrift,adventure,6.0,49,105
A Babá: Operação Game Over,adventure,4.9,11,94
A Christmas Carol,adventure,9.8,12,94
A Legend,adventure,4.7,1,129
A New Dawn,adventure,6.0,49,60
A Sloth Story,adventure,5.6,240,90
A Trip Elsewhere,adventure,5.4,113,93
A.R.M,adventure,7.1,9,150
ABC Life: The Movie,adventure,6.0,49,60
Abar Arownne Din Ratri,adventure,8.0,9,111
Abudeka Is Back,adventure,5.4,43,120
Across America,adventure,6.0,49,94
Adam i Eva,adventure,5.1,96,95
Adrian,adventure,6.0,49,94
Advent,adventure,7.5,6,119
Ahl Al Kahf,adventure,5.2,292,120
Alex and Mia's Awesome Movie!!,adventure,6.0,49,75
Aliens Uncovered: Buried Cities & Lost Tribes,adventure,8.4,12,94
All for One,adventure,1.4,682,97
Alpha.,adventure,6.9,275,100
Altered,adventure,6.0,49,94
Amazon Bullseye,adventure,5.2,227,113
Amphibia: Endgame,adventure,6.0,49,84
Anaconda,adventure,4.9,673,84
Analogistan,adventure,6.0,49,85
Angels Fallen: Warriors of Peace,adventure,4.9,64,103
Antarctic Voyage,adventure,6.8,6,94
Anytime,adventure,8.9,25,62
Anywhere Wherever,adventure,6.0,49,94
Applepictures the Poseidon Legacy,adventure,6.6,20,84
Appu,adventure,8.1,189,92
Arctic Hollow,adventure,2.3,184,70
Art Work,adventure,6.0,49,91
Arthur the King,adventure,7.0,35,107
Aruanda - Sentido da Vida,adventure,6.0,49,94
Askepote,adventure,3.5,86,72
At Her Feet,adventure,7.8,64,100
Atlas,adventure,5.6,57,118
Attack on Titan the Movie: The Last Attack,adventure,9.1,18,145
Autumn and the Black Jaguar,adventure,5.6,11,100
Ayalaan,adventure,5.9,4,155
BAM!,adventure,7.0,30,80
Ba Jie,adventure,6.0,49,94
Baba Yaga spasaet Novyy god,adventure,4.3,124,99
Bad Boys: Ride or Die,adventure,6.5,103,115
Bade Miyan Chote Miyan,adventure,3.8,39,163
Badland Hunters,adventure,5.9,13,107
Bambi: A Tale of Life in the Woods,adventure,5.6,266,78
Banana Boat,adventure,5.5,21,78
Bar MoskvaChiki,adventure,5.1,106,91
Barroz: Guardian of Treasures,adventure,3.4,11,155
Bear Kid: Super Hero,adventure,6.0,49,80
Benjamin Bat,adventure,7.9,34,75
"Bernadotte, Louise & Napoleon",adventure,6.0,49,74
Beyaz Zenciler: Yapim Asamasi,adventure,8.6,5,94
Beyond existence,adventure,4.1,23,95
Big City Greens the Movie: Spacecation,adventure,6.2,587,83
Big Water Theory,adventure,6.0,49,83
Bionic,adventure,4.3,18,110
Birds Flying East,adventure,5.8,608,100
Bookworm,adventure,6.0,21,103
Boom!,adventure,8.3,11,90
Borderlands,adventure,4.7,51,101
Boyz,adventure,6.0,49,132
