Title,Genre,Ratings,Vote_Counts,Runtime
30 to 45,biography,7.1,39,118
76 Days Adrift,biography,7.1,39,105
87 Candles,biography,9.1,11,99
9 sekund,biography,4.5,66,91
A Almería de Leone,biography,7.1,39,99
A Bronx Tale: The Original One Man Show,biography,7.6,28,99
A Complete Unknown,biography,7.3,94,141
A Serena Onda que o Mar me Trouxe,biography,7.1,39,73
A modo mio - Patty Pravo,biography,7.1,39,99
A nuestros amigos,biography,7.5,15,90
Ae Watan Mere Watan,biography,4.7,14,133
Aftografo: Evangelos N. Roussos,biography,7.1,39,99
Ago,biography,8.0,6,80
Ajiniyaz,biography,7.1,39,99
All Access to Rossa 25 Shining Years,biography,8.7,66,91
Alyah and the Cove,biography,7.1,39,100
Alzheimer mezhdu baba i men,biography,7.1,39,99
Alí Primera,biography,7.1,39,99
Amar Singh Chamkila,biography,7.8,16,145
Amaran,biography,8.1,20,167
Another Part of Me,biography,7.1,39,99
Anssi Mänttäri - Suomielokuvan kummisetä,biography,7.1,39,113
"Antonio Mairena, la raiz del cante",biography,7.1,39,99
Atatürk II: 1881-1919,biography,8.9,23,141
Atín Aya. Retrato del silencio,biography,7.1,39,79
Audrey's Children,biography,7.1,435,110
Avicii - I'm Tim,biography,7.7,74,95
Bach - Ein Weihnachtswunder,biography,6.2,169,89
Back to Black,biography,6.3,27,122
Bad Bunny: Global Takeover,biography,7.1,39,60
Bad Case of the Country Blues: The Linda Martell Story,biography,7.1,39,89
Barnen från Camp Ashraf,biography,5.3,20,88
Basketball Jones: The First Chapter,biography,7.1,39,99
Beautiful Rebel,biography,6.3,1,112
Becoming Hitchcock: The Legacy of Blackmail,biography,7.2,283,72
Becoming Madonna,biography,6.9,331,91
Beethoven's Nine,biography,7.2,12,90
Beethoven's Nine: Ode to Humanity,biography,6.7,25,85
Being Maria,biography,6.1,791,100
Better Man,biography,7.6,33,135
Between Time and Space: E.S.T.,biography,7.1,39,120
Beyaz Zenciler: Yapim Asamasi,biography,8.6,5,99
Bhanu,biography,7.1,39,134
Biggest Heist Ever,biography,6.1,16,85
Bir Cumhuriyet Sarkisi,biography,7.4,14,128
Blake Edwards: A Love Story in 24 Frames,biography,7.5,78,99
Blood'less' Revolution,biography,6.7,320,103
Blue Road: The Edna O'Brien Story,biography,8.0,101,99
Blues Run the Game: The Strange Tale of Jackson C. Frank,biography,5.8,7,99
Blur: To the End,biography,7.2,750,104
Bob Marley: One Love,biography,6.2,35,107
Bob Noto - The World's Finest Palate,biography,7.1,39,99
Bogart: Life Comes in Flashes,biography,6.9,477,99
Boléro,biography,6.6,899,120
Bonhoeffer: Pastor. Spy. Assassin.,biography,6.2,39,133
Born Again: George Whitefield,biography,7.1,39,99
Born to Be Wild: The Story of Steppenwolf,biography,7.0,47,100
Boy,biography,7.1,39,99
Brev til Håkon Banken,biography,8.2,30,80
Bröderna Andersson,biography,7.2,126,84
Burkitt,biography,7.1,39,73
Butterfly,biography,7.1,39,99
COMA,biography,9.4,13,80
Cabrini,biography,7.3,91,142
Can You Say... Looking?,biography,7.1,39,89
Carles Sabater. No espereu res de mi,biography,8.1,19,75
Cartas Telepáticas,biography,5.2,37,70
"Carville: Winning Is Everything, Stupid",biography,7.2,276,98
Chabuca,biography,6.7,254,113
Chandu Champion,biography,7.8,35,142
Charmian Clift: Life Burns High,biography,7.9,15,80
