Title,Genre,Ratings,Vote_Counts,Runtime
(Pri)sons,crime,5.0,296,100
10 Days of a Curious Man,crime,5.7,14,110
12 Hours on the Streets,crime,6.3,41,75
12 Million Dollar Movie on Paper,crime,6.3,41,102
2 Days in Quito,crime,6.3,41,124
20.10.20 - Flugten Fra Herstedvester,crime,6.3,41,102
2000s: Bad Fellas,crime,6.3,41,102
"3 Days, 3 Murders",crime,6.3,41,91
4 Faces,crime,9.0,25,102
4N6,crime,9.6,62,117
5D,crime,8.1,580,129
5lbs of Pressure,crime,5.2,17,111
7vens Law,crime,9.3,20,68
9 Windows,crime,3.6,327,82
A Bronx Tale: The Original One Man Show,crime,7.6,28,102
A Brothers Bond,crime,5.1,57,103
A Day for Driving,crime,6.3,41,78
A Frozen Rage,crime,5.3,49,115
A Gangster's Kiss,crime,4.6,49,81
A Grain of Salt,crime,6.3,41,102
A Hateful Enemy,crime,6.3,41,76
A Hustler's Son 2,crime,6.3,41,102
A Place Called Silence,crime,6.5,14,119
A Place Under the Sun,crime,9.2,36,110
A Question of Guilt,crime,6.5,21,102
A Reel Heist,crime,5.2,58,116
A Valentine's Day,crime,8.4,9,126
A-Side: Suburban,crime,6.3,41,102
AK47,crime,7.2,15,146
Aaro,crime,4.4,13,120
Ab Hoga Insaaf,crime,6.3,41,102
Abduction Chronicles,crime,8.6,37,126
Abnormal: Buas,crime,5.7,28,90
Above the Trees,crime,6.5,14,125
Abraham Ozler,crime,6.6,43,143
Absolution,crime,5.2,9,112
Abudeka Is Back,crime,5.4,43,120
Accident or Conspiracy: Godhra,crime,7.4,791,133
Against the Spread,crime,8.6,14,102
Agent Jayne,crime,7.1,260,102
Agontuk,crime,5.3,25,125
Ahrub,crime,6.3,41,102
Ain't Two Men the Same,crime,6.3,41,102
Alchemy of Solitude,crime,6.3,41,102
All Suspects,crime,3.6,20,96
All That Glitters,crime,7.7,43,102
Aloha Malandro,crime,6.3,41,71
Amarjeet Rana,crime,6.3,41,102
Amish Affair,crime,5.5,210,86
Among Neighbors,crime,9.7,51,100
Amongst the Wolves,crime,5.2,306,102
An American Bombing: The Road to April 19th,crime,6.8,931,107
An Education,crime,6.3,41,102
An Ordinary Killer,crime,6.3,41,102
Anand Sreebala,crime,6.6,25,134
Andhagan,crime,6.6,12,142
Angry Squad: Civil Servants & Seven Swindlers,crime,7.3,93,120
Anweshippin Kandethum,crime,7.4,11,142
