Title,Genre,Ratings,Vote_Counts,Runtime
"...Mayombe, Paula?",history,6.7,35,102
11 Rebels,history,6.3,731,155
2053 - A Best Case Scenario,history,6.7,35,102
3 Frauen 1 Streik,history,6.6,22,102
A Country Called Ghana,history,9.3,13,102
A Cowardly Rout: The Bull Run Account of William Howard Russell,history,6.7,35,102
ABBA: Against the Odds,history,7.3,600,90
Accident or Conspiracy: Godhra,history,7.4,791,133
Ae Watan Mere Watan,history,4.7,14,133
Ahl Al Kahf,history,5.2,292,120
Ainda Somos os Mesmos,history,5.8,47,90
Aiyefele,history,6.7,35,102
Ajiniyaz,history,6.7,35,102
Al Kafi,history,6.7,35,110
Aliens Return,history,2.8,33,102
Aliens Uncovered: The Land of Legends,history,8.3,11,102
Aliens Uncovered: The Thunder God,history,7.2,11,102
All or Nothin',history,8.0,32,95
America's Burning,history,6.0,126,83
America's Woman,history,6.7,35,73
And the Balls Roll On...: The Real Story of the Beautiful Game of Skee-Ball,history,6.7,35,93
Andrew Trimble: For Ulster & Ireland,history,6.7,35,102
Anzac.Lemnos.1915.,history,6.7,35,102
Apocalypse in the Tropics,history,7.5,129,110
Apollo 13: Survival,history,7.3,25,98
Aquarius,history,6.5,26,75
Area 2,history,6.7,35,102
"Arlempdes, la légende du premier château de la Loire",history,6.5,12,102
Atatürk II: 1881-1919,history,8.9,23,141
Atomic People,history,8.3,110,90
Avalanche! The 1910 Great Northern Railway Disaster,history,6.7,35,65
Azerbaijan Atabeyler,history,8.0,6,100
Bach - Ein Weihnachtswunder,history,6.2,169,89
Bad Case of the Country Blues: The Linda Martell Story,history,6.7,35,89
Bahodir Yalangto'sh,history,6.4,166,102
Bardejov,history,4.7,182,85
Battlefield,history,6.2,710,104
Becoming Madonna,history,6.9,331,91
Before Dawn,history,5.4,11,101
Being Maria,history,6.1,791,100
Bibi Rajni,history,8.5,744,143
Bir Cumhuriyet Sarkisi,history,7.4,14,128
Blitz,history,6.2,17,120
Blood'less' Revolution,history,6.7,320,103
Bloodspawn,history,6.6,14,76
Blur: To the End,history,7.2,750,104
Boat,history,5.4,1,126
Bonhoeffer: Pastor. Spy. Assassin.,history,6.2,39,133
Bröderna Andersson,history,7.2,126,84
Burgemeestersmoord,history,6.4,87,102
Burkitt,history,6.7,35,73
Bushido,history,6.9,512,129
C'era una volta il Derby Club,history,7.4,17,90
Calico Rebellion,history,6.7,35,70
"Carville: Winning Is Everything, Stupid",history,7.2,276,98
Castles in Haiti,history,6.7,35,102
Chandu Champion,history,7.8,35,142
Chernyy zamok,history,5.0,63,115
Chhatrapati Tararani,history,8.9,20,102
Chhava,history,8.4,23,102
Christian Growth Through Hymns,history,6.7,35,102
Churchill's Forgotten War,history,7.4,14,102
Cinema Strada,history,6.7,35,106
Cinta Dari Timor,history,5.3,24,82
"Cintas, Fotocopias y Sellos Trucados",history,6.7,35,108
Clergyman,history,6.7,35,114
Colonel Xanthi,history,6.7,35,102
Color of Victory,history,6.1,40,157
Colors of the Sun,history,6.7,35,102
"Colón ADN, su verdadero origen",history,6.4,54,106
Comrade Yuri,history,6.7,35,102
Conquer: Lahad Datu,history,6.6,549,120
Cândido,history,6.3,64,99
Dad's Secret War: France 1944,history,6.7,35,102
Death Game,history,6.3,26,88
Descartes in Egmond,history,6.7,35,72
Destiny or Will. Marusia,history,8.8,20,102
Detor: The Rise of a Warrior Hunter,history,6.7,35,126
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,history,8.2,673,174
Die Ermittlung: Oratorium in 11 Gesängen,history,7.6,175,241
Die Mutigen 56 - Deutschlands längster Streik,history,6.5,11,90
Dogman Territory: Werewolves in the Land Between the Lakes,history,5.6,36,102
Douglas Stories,history,6.7,35,102
Drachten Journaals,history,6.7,35,102
Drama 1882,history,9.1,19,102
Drava se ne predaje,history,7.4,11,76
Drop Dead City,history,8.2,34,108
Ecce Homo Brâncoveanu,history,6.9,166,92
Ei koskaan yksin,history,7.1,462,85
Einstein and the Bomb,history,6.2,41,76
Ek Chilte Jol,history,9.2,13,119
Ekpebiwo m (I have Decided),history,6.7,35,102
El Genocidio Silencioso,history,6.7,35,82
Ennio Doris - C'è anche domani,history,5.2,106,90
Ensamble Patagonia,history,6.7,35,102
Ernest Cole: Lost and Found,history,7.2,409,105
Escape from Germany,history,5.4,11,97
Ett hjärta är alltid rött,history,7.1,401,103
Fast Track: Taking on the Speedway,history,9.4,9,102
Fedeltà Soldati. Prigionieri.,history,6.7,35,80
Frederick Douglass - My Path to Freedom,history,6.7,35,90
Freedom Shred: A Juneteenth Declaration,history,6.7,35,102
From Darkness to Light,history,7.3,236,108
"From Hilde, with Love",history,6.9,12,125
Gadera,history,5.1,50,108
Gangs of Godavari,history,4.9,919,165
Gateway District - Project Algerine,history,6.7,35,102
"Gaza, since October 7",history,4.6,7,94
"Georges Pompidou, la cruauté du pouvoir",history,6.5,7,104
Ghost Camera,history,6.7,35,101
Giannis in the Cities,history,6.8,27,90
Giuseppe Taliercio: Il delitto perduto,history,7.8,5,102
Gladiators,history,4.4,117,95
Gloria!,history,6.6,11,106
Goebbels and the Führer,history,6.7,26,135
Golden Kamuy,history,6.3,27,127
Grand Tour,history,6.5,21,129
Greenwood Rising: The Rise of Black Wall Street,history,7.1,101,102
Guadalupe: Mother of Humanity,history,7.0,41,102
Hakkenden,history,5.9,82,149
Hancsovszky,history,7.8,21,102
Harbin,history,6.2,985,108
Harvest,history,6.2,499,131
"Haïti, la rançon de l'indépendance",history,6.7,35,63
Holdin' Weight: The Darryl Reed Story,history,6.7,35,102
Hope of Escape,history,7.7,45,91
House of Ga'a,history,4.0,489,119
Housewife of the Year,history,7.4,80,81
I am Al Ittihad,history,5.0,232,90
I'm Still Here,history,8.2,114,137
Illuminate - Monica Vitti - La donna che visse due volte,history,6.7,35,102
In Her Place,history,6.2,71,96
In Search of Darkness 1990-1994: A Journey Into Iconic '90s Horror,history,7.9,159,363
In the Fire of War,history,7.1,209,115
International Resonance of the April Uprising,history,6.7,35,102
Intoxicated by Love,history,8.5,14,118
Iron Bar,history,6.7,35,117
Isobel,history,6.7,35,102
Istanbul: Isgal ve Zafer,history,6.7,35,102
Iyunskaya polyn,history,8.7,7,79
Janis Ian: Breaking Silence,history,7.8,139,114
John Brown the Advocate,history,9.6,13,66
Jorge da Capadócia,history,5.9,164,119
Joy,history,7.1,10,115
Jíkuri,history,6.7,35,102
Kabarettistinnen in der Weimarer Republik und im Dritten Reich,history,6.7,35,90
Kargil 1999- The Untold Story of the Indian Air Force,history,8.5,15,102
Kasoombo,history,8.2,640,156
Kingdom 4: Return of the Great General,history,7.1,14,145
Komandir,history,6.3,538,131
Krigsvarsleren,history,7.8,8,102
Kupu-Kupu Kertas,history,6.5,223,113
L'orizzonte chiuso,history,8.0,6,102
La tv nel pozzo,history,6.7,35,102
Lafran,history,8.4,20,99
Landesverräter,history,5.9,113,112
Last Flamingo of the Red Summer Sunset,history,8.8,14,80
"Le Temple d'Hatchepsout, Reine d'Egypte",history,6.7,35,102
Le choix du pianiste,history,6.1,14,106
Le quatrième mur,history,6.3,146,116
Legend of the Lizard,history,6.7,35,102
Limonov: The Ballad of Eddie,history,5.9,11,138
Lisabi: The Uprising,history,5.2,142,107
Los indomables,history,6.5,9,106
Louise Violet,history,6.5,271,108
"Love, Courage and the Battle of Bushy Run",history,5.0,195,113
Lula,history,5.5,198,90
Lulu in Turin,history,8.5,6,76
Madame Durocher,history,6.6,24,102
Magic & Monsters,history,6.7,35,102
Maharaj,history,6.5,15,131
Maidaan,history,7.9,23,181
Malvinas: O Diário de uma Guerra,history,6.7,35,102
Malês,history,6.7,35,102
Manuscripts,history,6.7,35,102
Manyunya. Priklyucheniya v Moskve,history,5.7,112,87
Manyunya. Priklyucheniya v derevne,history,5.7,123,84
Marcho - L'ultima bandiera,history,6.7,35,75
Maverick from the Edge,history,6.7,35,107
Max Corvo for Freedom the Secret War of Oss in Italy 1943-1945,history,6.7,35,102
Meet the Roman Emperor with Mary Beard,history,7.7,49,102
Meeting with Pol Pot,history,6.4,452,112
Memoir Seorang Guru,history,7.1,134,120
Mi Ilustrísimo Amigo,history,6.7,35,80
Mustafa,history,6.9,77,75
Myall Creek Day of Justice,history,6.4,17,78
Mysteries of the Terracotta Warriors,history,6.7,17,77
Mythical Creatures,history,6.7,35,90
Márton Áron Erdély püspöke,history,6.7,35,90
Nancy & Bill: The Story Before Oliver Twist,history,6.7,35,102
"Napoléon, Albine, Betsy et les autres",history,6.7,35,102
Nebesko,history,5.1,10,73
Nerah Documaentary Film,history,6.7,35,102
No Chains No Masters,history,6.3,666,98
North Korea: Dark Secrets,history,5.8,84,79
Notre rêve américain,history,6.7,35,102
Now or Never!,history,2.2,17,102
O Voo do Crocodilo - O Timor de Ruy Cinatti,history,6.7,35,71
O Último Papagaio de Timneh,history,6.7,35,102
Obraz,history,7.3,23,95
Oda: Vlucht door de Eeuwen,history,6.4,7,102
Okufere,history,6.7,35,91
On Air,history,6.7,35,102
On Moral Grounds,history,8.4,7,74
On the Wing,history,6.7,35,86
Onihei Hankacho: Ketto,history,6.3,16,111
Operation Star,history,7.8,25,102
Operation Undead,history,4.7,441,110
"Otger Cataló, La llegenda",history,6.7,35,102
Panjab Files,history,7.5,37,117
Patrice: The Movie,history,8.3,234,102
Paul Anka: His Way,history,7.3,12,100
Pirates & Slaves,history,5.8,6,102
Piri Reis: The Incredible Chart,history,7.0,27,138
Pismo,history,6.7,35,71
Pol Pot Dancing,history,7.1,14,102
Powstaniec 1863,history,5.3,146,115
Public Defender,history,8.0,20,102
Queen Elizabeth II: Before the Crown,history,6.7,35,102
Queer,history,6.4,24,137
Quisling: The Final Days,history,7.1,13,146
Quo Vadis,history,6.4,517,90
Raconte-moi la France,history,6.7,35,102
Ray of Hope,history,7.5,13,105
Razakar: The Silent Genocide of Hyderabad,history,7.3,53,166
Reagan,history,6.1,12,141
Red Poppies,history,4.7,340,122
"Renato Schlatter, l'ange déchu du football suisse",history,6.7,35,90
Rinnans rival,history,6.7,35,94
Rising Tennis Star Meloni Jones,history,6.7,35,102
"Ritter, Burgen, Edelfrauen - Liebessagen aus dem Mittelalter",history,6.7,35,102
Running Towards the Fire - A War Correspondent's Story,history,6.7,35,102
SLON,history,6.7,35,102
Sadik Ahmet,history,7.6,435,125
Saigon,history,6.7,35,102
Saint-Exupéry,history,5.4,544,98
Sathur: Part1,history,6.7,35,102
Saturday Night,history,6.9,33,109
Seize Them!,history,5.1,13,91
September 5,history,7.1,27,95
Shirley,history,6.2,34,117
Shivrayancha Chhava,history,7.0,423,80
Silence in Sikeston,history,6.7,35,102
Silver Star,history,7.3,17,102
"Silver, Speik and Sumpters",history,6.7,35,102
Simona Kossak,history,6.0,392,100
Sinhabahu,history,6.4,97,112
Sisam,history,6.4,10,102
Sivestan,history,6.7,35,102
Six Days in August,history,5.9,135,120
Six Nine Five (695),history,7.0,707,137
Small Things Like These,history,6.7,27,98
Solos en la noche,history,5.7,105,88
Something to Stand for with Mike Rowe,history,8.5,302,96
Song of the Last Lacandon Holy Man,history,6.7,35,67
Sragaal,history,8.5,21,140
Stampila,history,7.7,11,102
Sucha Soorma,history,6.4,956,136
Svjedoci pravde - Ratni zlocini u Bosanskom Novom,history,6.7,35,102
