Title,Genre,Ratings,Vote_Counts,Runtime
# 1 Fan,comedy,6.2,53,96
#AAY,comedy,6.4,821,142
#AMFAD: All My Friends Are Dead,"horror, mystery, thriller",4.5,13,91
#Comicsgate - How to Kill a Movement,documentary,7.4,21,127
#FamilyMan,drama,6.6,38,125
#Lifestories,drama,8.2,2,104
#MissingCouple,horror,5.3,743,93
#Models Wanted,"action, drama, horror, mystery",8.5,33,101
#OOTD: Outfit of the Designer,"drama, romance",5.6,48,107
#Rats,drama,6.6,38,100
#RevolutionAnyone,documentary,7.4,21,84
#UNTRUTH: The Psychology of Trumpism,documentary,7.2,193,90
#lovemyselfie,comedy,6.2,53,96
'Descontrol',"action, drama, thriller",6.1,42,101
(A)diexodos,music,7.3,35,94
(Pri)sons,"action, crime, horror",5,296,100
"(Re)membering the riots in Afrikaanderwijk in 1972 or guest, host, ghos-ti",documentary,7.4,21,86
(S)KiDS,animation,8.5,146,85
(Un)lucky Sisters,comedy,5.2,895,82
*YES I DO*,romance,6.3,51,102
*smiles and kisses you*,documentary,8,12,88
"...Mayombe, Paula?","drama, fantasy, history, horror, mystery, thriller",6.6,38,100
...and Juliet,documentary,7.4,21,86
.ask,horror,6.8,78,89
0000 Kilometre,romance,2.8,275,110
00:00 Absurdo Error Andinista,comedy,6.2,53,64
01,documentary,7.4,21,100
01 Redux,documentary,7.4,21,86
045 - Sporen van Mijnstreek-Oost,documentary,9.3,8,86
06.02 Umut,documentary,7.4,21,86
07.03,drama,6.6,38,100
1 Bad Azz Day,comedy,6.5,9,96
1 Million Followers,thriller,4.7,765,101
1 Thessalonians,documentary,7.4,21,86
1-800-Missing,drama,6.6,38,80
1-800-on-Her-Own,"documentary, drama",7.7,20,77
10 Days of a Curious Man,"crime, drama, mystery, thriller",5.7,14,110
10 Lives,"animation, comedy, family, fantasy",5.9,21,88
10 Pasimatymu,"comedy, romance",5.9,30,99
10 Things about Sally,"comedy, romance",6.2,53,80
10 Years A Dog,"comedy, drama",6.2,53,90
10 rounds,documentary,7.4,21,86
10/31 Part 4,"drama, fantasy, horror, mystery, thriller",5.5,18,87
100 Crores,action,5.4,4,101
100 Yillik Armagan,documentary,7.2,23,86
100 di questi anni,"comedy, documentary",7.2,8,90
100 litraa sahtia,comedy,7.1,324,88
"10,00,00,00,00,00,000",drama,6.5,66,77
100dB Indust-bag,"documentary, music",8.9,10,61
101 Reasons to Visit South Korea,documentary,7.4,21,86
1040 km,comedy,6.2,53,96
105 Minutes,"horror, thriller",4.1,23,120
10FT Down,thriller,6.4,26,98
11 Brothers: The Movie,"documentary, sport",7.4,21,86
11 Días en Ayacucho,documentary,7.4,21,86
11 Rebels,"action, drama, history, thriller",6.3,731,155
11.11.18 Soldat Inconnu,"drama, fantasy, war",6.6,38,78
1134,thriller,6.3,13,103
12 Baes of Christmas,comedy,3.8,36,96
12 Digit Masterstroke: The untold story of Aadhar,documentary,9.5,15,86
12 Gaun,action,6.6,958,147
12 Hours on the Streets,crime,6.3,41,75
12 Million Dollar Movie on Paper,"comedy, crime, western",6.2,53,96
12 and More Omissions,drama,6.6,38,100
12 to Midnight,"action, horror, thriller",3.6,300,96
13 Lentes De Um Final Feliz (Documentário Completo),"documentary, music",9.8,44,410
13th Summer,thriller,4.3,182,96
14,drama,7.5,13,119
14 Days Love,"drama, family, romance",6.4,12,112
14 Days to Feel Better,comedy,5,256,90
142 hronia,documentary,7.7,18,74
143,drama,6.6,38,100
1506 - The Lisbon Genocide,drama,8.8,7,100
1600 Meter,"drama, family, sport",6.6,38,106
1710 Bunker Hill Avenue,sci-fi,6,45,92
1776: Thierno Souleymane Baal et la révolution du Fouta,drama,6.6,38,100
18×2 Beyond Youthful Days,"drama, romance",7.3,21,123
1952: The Invasion of Washington,documentary,7.4,21,86
1953. Walka o nadzieje,documentary,7.4,21,75
1957,drama,6.6,38,100
1963,animation,6.8,47,87
1970 Love Story,"drama, romance",8.3,15,100
1978,"drama, horror, thriller",5.2,604,76
1980 Lo Radhekrishna,"action, drama, romance",8.2,12,101
1984: 40 Years Strong and True,sport,6.9,45,100
1995,comedy,6.9,648,120
1999 Hiraeth,mystery,6,41,104
1K,drama,6.6,38,100
2 Asunder,drama,6.6,38,100
2 Days in Quito,"crime, thriller",6.3,41,124
2 Fingers Honey 2,comedy,6.9,101,106
2 Lives,fantasy,6.1,43,96
2 Peter,documentary,7.4,21,86
2 Sides of Beauty,drama,6.6,38,100
2 Steps Forward,"drama, family",6.6,38,100
20 Jaar Het Eiland,comedy,7.4,36,96
20.10.20 - Flugten Fra Herstedvester,"crime, documentary, drama",6.3,41,102
200% Wolf,"action, adventure, animation, comedy, family, fantasy",5.9,13,98
2000s: Bad Fellas,"action, crime",6.1,42,101
2001: Creating Kubrick's Space Odyssey,documentary,7.8,10,86
200KG Vampire,"comedy, horror, mystery",4,62,93
2015: Future Uncertain,"comedy, sci-fi",6.9,18,72
2020,"comedy, drama",7.5,82,87
2023 San Diego International Kids' Film Festival,documentary,7.4,21,86
"2023, L'année Où Tout S'est Embrasé - Backseat, Le Film",documentary,7.4,21,68
2024 Daytime HMA Awards,music,7.3,35,109
2029,thriller,5.4,9,99
2032: Pako Varissuolta,action,6.1,42,67
2053 - A Best Case Scenario,"history, sci-fi",6.7,35,102
2054: The Wreckoning,animation,6.8,47,60
2073,"documentary, thriller",5.1,33,85
21 Numara: Askin Tadi,comedy,4.7,17,96
21.4,mystery,6,41,112
215 Miles,drama,6.6,38,100
22 Words: Exposing the Loss of Decency in American Education,documentary,7,11,86
23 Horas,"adventure, comedy, sci-fi",7,21,94
23 Mile,documentary,7.3,6,78
23:47,drama,6.6,38,76
24,documentary,7.4,21,1464
24 Flavours,drama,6.6,38,117
24 Hours,drama,8.2,5,90
24 Hours to D-Day,"action, war",3.5,85,83
24 Stunden,documentary,7.4,21,100
2475 Dawn of Revolution,animation,6.3,153,127
24th International Theatre Festival Melikhovo Spring,documentary,7.4,21,86
2550,documentary,7.6,79,62
26 Hours,documentary,7.4,21,86
26-Jan,"drama, thriller",6.6,38,100
2B Honest,thriller,4.1,109,125
2Unbreakable,documentary,8.6,7,90
2nd Miracle in Cell No. 7,"comedy, drama, family",7.4,345,147
3 Atos de Moisés,documentary,7.4,21,86
3 Days 2 Nights in Poblacion,drama,4.2,41,95
"3 Days, 3 Murders","crime, drama",6.3,41,91
3 Frauen 1 Streik,history,6.6,22,102
3 Generations,drama,6.6,38,80
3 Karod 24 Khallak 1 Sawaal,drama,9.2,6,100
3 Obás de Xangô,documentary,8.1,11,86
3 Schmucks,comedy,7.9,161,91
3 Strikes You're Dead,"comedy, horror",6.2,53,96
3 Way Poly,drama,6.6,38,100
3 Working Days,drama,4.1,47,92
3 Worlds Apart,drama,6.6,38,114
3. Gece Habis,horror,6.4,19,90
3. Gun,"comedy, romance",3.8,160,96
"30 Ausflüge auf Seen, Flüssen und Kanälen",documentary,7.4,21,86
30 Hours Survival: Gauraiya Live,drama,8.1,73,111
30 anni di meno,comedy,4.6,25,96
30 to 45,"biography, comedy, horror, thriller",7.1,39,118
31 Kills of Halloween,horror,5.3,49,90
31st Movie,thriller,9.6,19,145
33 Black Frog: An American Story,documentary,7.4,21,86
3310'dan Tüm Birimlere,drama,5.6,48,90
3391 Kilometres,romance,4.3,12,110
35-Chinna Katha Kaadu,comedy,7.9,11,145
3500 Km De Sentiers Partagés,documentary,7.4,21,86
35000 Watts: The Story of College Radio,documentary,7.4,8,73
36-24-36,romance,6,243,118
37 : L'ombre et la proie,thriller,5.8,151,93
399: Queen of the Tetons,documentary,7.8,38,90
3Devi,thriller,9,22,126
3rd October,drama,8.4,23,100
3rd Place,"comedy, drama",6.2,53,105
3rd Street,action,6.1,42,101
4 Faces,"crime, drama",9,25,102
4 Zéros,"comedy, sport",3.6,154,105
4%: Un Documental de EDUCA,documentary,7.4,21,90
40,"drama, romance",4.7,27,103
40 Acres,"action, drama, sci-fi, thriller",6.9,485,113
404 Run Run,"comedy, horror",5.7,489,104
404.01,sci-fi,6,45,105
43 Degrees North,"drama, romance, sci-fi",6.6,38,100
48 Hours and 1 Minute,drama,4.8,25,96
4:44 : Time of Fear,"drama, horror",5.3,21,100
4GUYS&ACABIN,comedy,6.2,53,96
4N6,"crime, thriller",9.6,62,117
4PM,"comedy, drama, thriller",5.6,207,111
4th Die-Mension,horror,5.3,49,90
4th Wall Players Presents: Tartuffe,comedy,6.2,53,106
5 More Minutes,sci-fi,6,45,92
5 No. Swapnomoy Lane,drama,8,58,126
5 Pounds of Pressure,"action, drama",6.6,17,111
50 States,comedy,6.2,53,96
50 ans de rock à Nyon - Histoires,documentary,7.4,21,86
50 km/h,comedy,6,624,110
50 sentimentalnih: Srdjan Marjanovic,"documentary, music",7.4,21,77
500 Years of Friendship,documentary,7.4,21,86
52 Hertz no Kujiratachi,drama,6.5,165,135
5460: the Joe West Story,documentary,7.4,21,86
55 Years Glavbolgarstroy,documentary,9.5,15,86
5D,crime,8.1,580,129
5G LTE n 2643,documentary,7.4,21,86
5lbs of Pressure,"crime, romance, thriller",5.2,17,111
5th Round,documentary,6.1,14,86
6 Hours Away,action,4,257,93
6 Parents Vs 2 Secret Fake Parents,comedy,6.2,53,96
6 in the Morning,drama,4,278,87
60 Miles North,"comedy, drama",8.5,83,81
601 Gamespittaz,documentary,7.4,21,86
64 Days,documentary,9.2,18,86
67 Bombs to Enid,documentary,7.4,21,88
69 Kg,documentary,7.4,21,64
7 Beats Per Minute,documentary,8,19,100
7 Day Fast,"adventure, comedy, documentary",6,49,94
7 Days Without Sex,"comedy, drama",6.2,53,96
7 Days at the Maternity Ward in Ghana,documentary,7.4,21,86
7 Days to Get Rid of My Ex,"comedy, romance",6.2,53,106
7 Keys,thriller,6.2,33,93
7 Melek,"action, drama",6.1,42,101
7 Seals,drama,6.6,38,100
7 Vidas,"comedy, mystery, sci-fi",6.2,53,80
7 Virgins,fantasy,6.1,43,96
"7 dney, 7 nochey","comedy, family",6.2,410,98
7 octobre 2023 - Un crime sans nom,documentary,7.4,21,77
7/G,mystery,4.3,642,140
70 Jahre Kreismusikschule Wittenberg,documentary,7.4,21,151
72 Hours,"action, thriller",4,337,87
72 Sigan,"drama, war",6.6,38,240
7291,documentary,7.1,61,86
76 Days Adrift,"adventure, biography, documentary, drama",6,49,105
77,drama,6.6,38,100
78 dana,drama,7.3,256,82
7vens Law,crime,9.3,20,68
