Title,Genre,Ratings,Vote_Counts,Runtime
(S)KiDS,animation,8.5,149,85
10 Lives,animation,5.9,2100,88
1963,animation,6.8,103,87
200% Wolf,animation,5.9,1300,98
2054: The Wreckoning,animation,6.8,103,60
2475 Dawn of Revolution,animation,6.3,153,127
A Few Moments of Cheers,animation,7.2,56,68
A Sloth Story,animation,5.6,259,90
Abandoned,animation,6.8,103,87
"Abenzaidún y Wallada, amor eterno",animation,6.8,103,67
Abá e Sua Banda,animation,7.1,15,84
"Ado SPECIAL LIVE ""Shinzou"" in Cinema",animation,9.1,49,140
Adventures of Mickey Sherlock Mouse & Winnie the Pooh,animation,4.9,12,87
Ah My Goddess: Bad Goddess One Wish,animation,6.8,103,87
Alex and Mia's Awesome Movie!!,animation,6.8,103,75
Ali's Dream Castle,animation,6.8,103,87
Alla conquista del mondo,animation,7.2,26,87
Among Neighbors,animation,9.7,51,100
Angelo dans la forêt mystérieuse,animation,6.0,142,81
Animal Adventures: Save the Forest,animation,7.7,34,85
Animal Tales of Christmas Magic,animation,6.8,52,72
Apocalypse Love,animation,7.3,8,87
Apperception,animation,6.8,103,62
Appu,animation,8.1,190,92
Arne Alligator och djungelkompisarna,animation,4.6,52,61
Askepote,animation,3.5,87,72
Astra,animation,6.8,8,80
Attack on Titan the Movie: The Last Attack,animation,9.1,18000,145
Ba Jie,animation,6.8,103,87
Baby Halloween,animation,6.8,103,66
Baby Pillows,animation,6.8,103,87
Bajie: Tian Peng Xia Jie,animation,6.8,103,88
Baki Hanma VS Kengan Ashura,animation,5.7,2000,62
Balentes,animation,7.4,8,70
Bartali's Bicycle,animation,7.5,10,80
Be Forever Yamato: Rebel 3199: Part 1: Dark Invasion,animation,7.5,11,87
Be Forever Yamato: Rebel 3199: Part 2: The Assault of the Burning Sun,animation,6.8,103,97
Bear Kid: Super Hero,animation,6.8,103,80
Becho,animation,7.3,11,87
Benjamin Bat,animation,7.9,34,75
Bie ba zuo wen dang hui shi er,animation,7.2,12,89
Big City Greens the Movie: Spacecation,animation,6.2,592,83
