Title,Genre,Ratings,Vote_Counts,Runtime
30 to 45,biography,3.9,17,118
76 Days Adrift,biography,7.1,157,105
87 Candles,biography,9.1,11,99
9 sekund,biography,4.5,65,91
A Almería de Leone,biography,7.1,157,99
A Bronx Tale: The Original One Man Show,biography,7.6,29,95
A Complete Unknown,biography,7.3,95000,141
A Serena Onda que o Mar me Trouxe,biography,7.1,157,73
A modo mio - Patty Pravo,biography,7.1,157,99
A nuestros amigos,biography,7.5,15,90
Ae Watan Mere Watan,biography,4.7,1400,133
Aftografo: Evangelos N. Roussos,biography,7.1,157,99
Ago,biography,8.0,6,80
Ajiniyaz,biography,7.1,157,99
All Access to Rossa 25 Shining Years,biography,8.7,66,91
Alyah and the Cove,biography,7.1,157,100
Alzheimer mezhdu baba i men,biography,7.1,157,99
Alí Primera,biography,7.1,157,99
Amar Singh Chamkila,biography,7.8,17000,145
Amaran,biography,8.1,20000,167
Another Part of Me,biography,7.1,157,99
Anssi Mänttäri - Suomielokuvan kummisetä,biography,7.1,157,113
"Antonio Mairena, la raiz del cante",biography,7.1,157,99
Atatürk II: 1881-1919,biography,8.9,2300,141
Atín Aya. Retrato del silencio,biography,7.1,157,79
Audrey's Children,biography,7.1,440,110
Avicii - I'm Tim,biography,7.7,7500,95
Bach - Ein Weihnachtswunder,biography,6.2,168,89
Back to Black,biography,6.3,28000,122
Bad Bunny: Global Takeover,biography,7.1,157,60
Bad Case of the Country Blues: The Linda Martell Story,biography,7.1,157,89
Barnen från Camp Ashraf,biography,5.3,20,88
Basketball Jones: The First Chapter,biography,7.1,157,99
Beautiful Rebel,biography,6.3,1000,112
Becoming Hitchcock: The Legacy of Blackmail,biography,7.2,287,72
Becoming Madonna,biography,6.8,412,91
Beethoven's Nine,biography,7.2,12,90
Beethoven's Nine: Ode to Humanity,biography,6.8,27,85
Being Maria,biography,6.1,814,100
Better Man,biography,7.6,34000,135
Between Time and Space: E.S.T.,biography,7.1,157,120
Beyaz Zenciler: Yapim Asamasi,biography,8.6,5,99
Bhanu,biography,7.1,157,134
Biggest Heist Ever,biography,6.1,1600,85
Bir Cumhuriyet Sarkisi,biography,7.4,1400,128
Blake Edwards: A Love Story in 24 Frames,biography,7.5,80,99
Blood'less' Revolution,biography,6.7,324,103
Blue Road: The Edna O'Brien Story,biography,8.0,103,99
Blues Run the Game: The Strange Tale of Jackson C. Frank,biography,5.8,7,99
Blur: To the End,biography,7.2,771,104
Bob Marley: One Love,biography,6.2,35000,107
Bob Noto - The World's Finest Palate,biography,7.1,157,99
Bogart: Life Comes in Flashes,biography,6.9,483,99
Boléro,biography,6.6,921,120
Bonhoeffer: Pastor. Spy. Assassin.,biography,6.2,4000,133
Born Again: George Whitefield,biography,7.1,157,99
Born to Be Wild: The Story of Steppenwolf,biography,6.8,52,100
Boy,biography,7.1,157,99
Brev til Håkon Banken,biography,8.2,30,80
Bröderna Andersson,biography,7.2,128,84
Burkitt,biography,7.1,157,73
Butterfly,biography,7.1,157,99
COMA,biography,9.4,13,80
Cabrini,biography,7.3,9100,142
Can You Say... Looking?,biography,7.1,157,89
Carles Sabater. No espereu res de mi,biography,8.1,19,75
Cartas Telepáticas,biography,5.2,37,70
"Carville: Winning Is Everything, Stupid",biography,7.2,277,98
Chabuca,biography,6.7,255,113
Chandu Champion,biography,7.8,35000,142
Charmian Clift: Life Burns High,biography,7.9,15,80
Chhatrapati Sambhaji,biography,5.4,234,186
Chhava,biography,8.4,2300,99
Cinema Strada,biography,7.1,157,106
Citizen Glenn,biography,7.1,157,99
Clergyman,biography,7.1,157,114
Colbert: All Students Can Learn,biography,7.1,157,99
Colita sin filtros,biography,7.1,157,99
Colonel Xanthi,biography,7.1,157,99
Comrade Yuri,biography,7.1,157,99
Concepción,biography,8.7,28,140
Cookster: The Darkest Days,biography,8.2,44,119
"Cruel, Usual, Necessary: The Passion of Silvio Narizzano",biography,7.1,157,134
Cutting Squares,biography,7.1,157,128
DCLXVI,biography,7.1,157,200
Dad and I: The Legacy of Timothy J. Dunn,biography,7.1,157,143
Davaj Paradiso,biography,9.1,28,63
Daytime Revolution,biography,6.8,108,108
"De Gaulle Vs Churchill : Mémoires De Guerre, Guerre Des Mémoires",biography,7.1,157,99
De erfenis van Els Borst,biography,7.1,157,99
Der Soldat Monika,biography,6.8,32,109
Despierta tu alma,biography,7.1,157,99
Destiny or Will. Marusia,biography,8.8,20,99
Dharmaveer 2,biography,5.3,11000,130
Diane von Furstenberg: Woman in Charge,biography,7.2,327,97
Diddy: Summit to Plummet,biography,2.4,222,60
Die Hahnenkammbahn,biography,7.1,157,99
"Disco, Ibiza, Locomia",biography,6.0,1600,104
"Dolly Parton: Bigger Hair, Bigger Heart",biography,7.4,13,60
Domenico Modugno - L'italiano che incantò il mondo,biography,7.1,157,99
Don't Ever Stop,biography,9.5,34,85
Doris Soffel - Mezzosopran Ein Leben im Labyrinth,biography,7.1,157,99
Dr. Hedgewar,biography,7.1,157,160
Dragon Boy,biography,7.1,157,99
Drazen,biography,6.5,1600,100
Duilio Cambellotti - Arte senza fine,biography,7.1,157,99
Dulcinea,biography,7.1,157,99
Dushu,biography,7.1,157,96
El 47,biography,7.2,3700,110
El Chilote: Gloria del Béisbol Dominicano,biography,7.1,157,75
Eleonora Abbagnato - Una stella che danza,biography,7.1,157,99
Elton John: Never Too Late,biography,6.5,2000,102
"Enescu, Skinned Alive",biography,5.0,142,99
Ennio Doris - C'è anche domani,biography,5.2,106,90
Entre Dois Rios e Outras Noites,biography,7.1,157,99
Ernest Cole: Lost and Found,biography,7.3,414,105
Estimados Señores,biography,7.7,65,98
Ett hjärta är alltid rött,biography,7.1,401,103
Faith of Angels,biography,5.9,294,98
Fanon,biography,6.6,157,132
Faruk,biography,6.6,440,97
Faye,biography,7.1,3100,91
Federer: Twelve Final Days,biography,7.3,4200,88
Fedya. Narodnyy futbolist,biography,6.0,136,125
Filmlovers!,biography,6.0,209,88
Fly by Night,biography,8.0,16,99
"François Truffaut, le scénario de ma vie",biography,6.8,49,98
Freak Out: The Joel M. Reed Story,biography,7.1,157,70
Freedom,biography,5.9,1500,110
Frida Khalo Woman Experiences,biography,7.1,157,99
"From Hilde, with Love",biography,6.9,1200,125
From Roger Moore with Love,biography,7.3,470,79
"Frédéric Mitterrand, une vie en images",biography,7.1,157,99
Funmilayo Ransome-Kuti,biography,8.5,101,91
Garbo: Where Did You Go?,biography,5.8,254,90
Gary,biography,6.6,557,91
Gaspare Spontini Celeste Amore,biography,7.1,157,99
Gaston - Last Clown Standing,biography,7.1,157,90
"Georges Pompidou, la cruauté du pouvoir",biography,6.5,7,104
Gevart,biography,7.3,70,99
Ghouroub,biography,7.1,157,65
Giannis Spanos: Piso ap' ti markiza,biography,7.7,20,118
Giroud,biography,6.4,29,80
Glenn Fredly: The Movie,biography,6.7,131,121
Go Against the Flow,biography,5.3,170,97
God Be with Us,biography,6.3,19,90
Goebbels and the Führer,biography,6.7,2700,135
Gold,biography,7.7,79,126
Golpe a Golpe (Blow by Blow),biography,8.1,23,90
Graciano Rocchigiani - Das Herz eines Boxers,biography,9.2,52,123
Greenwood Rising: The Rise of Black Wall Street,biography,7.1,101,99
Grow Vasu,biography,7.1,157,60
Gulag Eros of the Russian Mind,biography,7.1,157,99
Gummadi Narsaiah Biopic,biography,7.1,157,99
Gundi: Legend of Love,biography,8.9,5700,166
Hancsovszky,biography,7.8,21,99
Harbin,biography,6.2,1000,108
Harimau Malaya: The Untold Journey,biography,8.2,23,125
Harta Tahta Raisa,biography,4.0,72,110
Havnaa,biography,7.1,292,110
Hawala,biography,9.5,164,99
Hayatla Baris,biography,6.3,408,125
Herman Brood and His Wild Romance,biography,7.1,157,99
Hola Frida,biography,7.1,53,82
Hope of Escape,biography,7.7,46,91
House of Ga'a,biography,4.0,489,119
Hyper: The Stevie Hyper D Story,biography,8.8,31,91
I Am Kevin Harvick,biography,9.1,17,99
I Am Nevenka,biography,7.0,1200,112
I Am: Celine Dion,biography,7.7,8000,103
I Used to Love a Crackhead,biography,7.1,157,99
I am the girl 2 and my black belt,biography,7.1,157,122
I am the girl 3 me and my girlfriend,biography,7.1,157,99
I am the girl: this is my childhood until I wake up,biography,7.1,157,100
I'm Still Here,biography,8.2,115000,137
I'm Your Venus,biography,7.1,464,85
Ibnu Nurwanto - The Wood,biography,7.1,157,61
"Iki Gözüm Ahmet, Sürgün",biography,3.7,142,113
Il ricercatore,biography,6.4,9,71
Il était une fois Michel Legrand,biography,7.9,54,109
Illuminate - Monica Vitti - La donna che visse due volte,biography,7.1,157,99
Im Schatten der Träume,biography,8.2,10,90
Images of Album,biography,7.1,157,99
Insula Fondane (Fondane Island),biography,8.7,12,82
Interviews with Abdelkrim Baba Aïssa,biography,7.1,157,374
Invention,biography,6.1,113,72
It'll Never Work,biography,9.6,31,99
Italo Calvino nelle città,biography,7.1,157,86
Italo Svevo. Secret Writing in Trieste,biography,7.1,157,61
Itinéraire d'un enfant DJ,biography,7.1,157,99
Iyunskaya polyn,biography,8.7,7,79
Izvan vremena,biography,7.1,157,95
"Jacques Demy, le rose et le noir",biography,6.9,15,88
"Jaime Isidoro: divulgador, colecionador, artista",biography,7.1,157,80
Janani: The Last Stand,biography,7.1,157,99
Janet Jackson: In Control,biography,5.1,10,60
Janis Ian: Breaking Silence,biography,7.8,150,114
Jenni,biography,6.8,46,113
Jestem postacia fikcyjna,biography,7.1,157,75
Jim Henson: Idea Man,biography,7.7,4000,111
Joachim and the Apocalypse,biography,7.7,17,90
John Cranko,biography,6.9,217,133
John McAfee,biography,7.1,157,99
"José Lifante, mi aventura en el cine",biography,7.1,157,85
Joy,biography,7.1,10000,115
Karina,biography,6.2,56,90
"Kati: Eine Kür, die bleibt",biography,6.1,85,99
Klitschko: More Than a Fight,biography,6.3,514,96
Knock Out Blonde: The Kellie Maloney Story,biography,6.0,23,90
Komandir,biography,6.3,537,131
Kulej. Dwie strony medalu,biography,6.4,353,148
Kushstock: The Movie,biography,7.1,157,99
Kylie Minogue: Pop Icon,biography,5.5,14,99
L'amore e la gloria - La giovane Deledda,biography,7.1,157,105
La Casa,biography,6.9,1000,83
La Grande,biography,9.0,42,95
La Joia: Bad Gyal,biography,5.8,89,92
La couleur dans les mains,biography,7.1,157,86
La herencia de Flora,biography,5.8,6,134
La nostra Raffaella,biography,7.1,157,85
La valanga azzurra,biography,7.6,11,90
La verità è nuda,biography,7.1,157,99
Lafran,biography,8.4,20,99
Laura,biography,6.5,255,104
Legend of the Lizard,biography,7.1,157,99
Levoton Tuhkimo,biography,6.4,492,88
Light Blue,biography,4.2,127,99
Limonov: The Ballad of Eddie,biography,5.9,1100,138
Little Bites,biography,4.7,1400,105
Livio Garzanti: Il gran viziato - La morale nascosta di un editore formidabile,biography,7.1,157,75
Liza: A Truly Terrific Absolutely True Story,biography,7.6,509,104
Looking for Simone,biography,7.3,16,93
Los Chavales de la Morelia,biography,7.1,157,99
Louis Riel or Heaven Touches the Earth,biography,3.8,5,99
