Title,Genre,Ratings,Vote_Counts,Runtime
(Pri)sons,crime,5.0,299,100
10 Days of a Curious Man,crime,5.7,1400,110
12 Hours on the Streets,crime,6.4,145,75
12 Million Dollar Movie on Paper,crime,6.4,145,102
2 Days in Quito,crime,6.4,145,124
20.10.20 - Flugten Fra Herstedvester,crime,6.4,145,102
2000s: Bad Fellas,crime,6.4,145,102
"3 Days, 3 Murders",crime,6.4,145,91
4 Faces,crime,9.0,25,102
4N6,crime,9.4,63,117
5D,crime,8.1,579,129
5lbs of Pressure,crime,5.2,1800,111
7vens Law,crime,9.3,20,68
9 Windows,crime,3.6,328,82
A Bronx Tale: The Original One Man Show,crime,7.6,29,95
A Brothers Bond,crime,5.1,57,103
A Day for Driving,crime,6.4,145,78
A Frozen Rage,crime,5.3,49,115
A Gangster's Kiss,crime,4.8,50,81
A Grain of Salt,crime,6.4,145,102
A Hateful Enemy,crime,6.4,145,76
A Hustler's Son 2,crime,6.4,145,102
A Place Called Silence,crime,6.5,1400,119
A Place Under the Sun,crime,9.2,36,110
A Question of Guilt,crime,6.2,23,102
A Reel Heist,crime,5.2,58,116
A Valentine's Day,crime,8.4,9,126
A-Side: Suburban,crime,6.4,145,102
AK47,crime,7.2,15,146
Aaro,crime,4.4,13,120
Ab Hoga Insaaf,crime,6.4,145,102
Abduction Chronicles,crime,8.6,37,126
Abigail,crime,6.5,101000,109
Abnormal: Buas,crime,5.7,28,90
Above the Trees,crime,6.5,14,125
Abraham Ozler,crime,6.6,4500,143
Absolution,crime,5.2,9200,112
Abudeka Is Back,crime,5.4,44,120
Accident or Conspiracy: Godhra,crime,7.4,790,133
Against the Spread,crime,8.6,14,102
Agent Jayne,crime,7.1,260,102
Agontuk,crime,5.3,25,125
Ahrub,crime,6.4,145,102
Ain't Two Men the Same,crime,6.4,145,102
Alchemy of Solitude,crime,6.4,145,102
All Suspects,crime,3.6,20,96
All That Glitters,crime,7.9,46,102
Aloha Malandro,crime,6.4,145,71
Amarjeet Rana,crime,6.4,145,102
Amish Affair,crime,5.5,211,86
Among Neighbors,crime,9.7,51,100
Amongst the Wolves,crime,5.2,326,102
An American Bombing: The Road to April 19th,crime,6.8,932,107
An Education,crime,6.4,145,102
An Ordinary Killer,crime,6.4,145,102
Anand Sreebala,crime,6.6,2500,134
Andhagan,crime,6.6,1200,142
Angry Squad: Civil Servants & Seven Swindlers,crime,7.2,100,120
Anweshippin Kandethum,crime,7.4,11000,142
Anyone Else But Me,crime,7.0,157,95
Aranam,crime,7.5,402,127
Armor,crime,3.6,4600,89
Arrive Alive,crime,6.4,145,102
Art of War,crime,6.4,145,102
Assault in Progress,crime,7.4,18,102
Ata Nirjon Duporiya,crime,8.0,10,103
Atithi,crime,9.4,10,102
Atlanta 10.02,crime,5.8,16,102
Ato Kwabena,crime,6.4,145,94
Auron Mein Kahan Dum Tha,crime,6.4,41000,150
Baba Yaga,crime,7.2,8,102
Baby Assassins: Nice Days,crime,7.2,369,103
Baby John,crime,5.1,18000,159
Bad Boys: Ride or Die,crime,6.5,103000,115
Bad Knight in Gotham,crime,6.4,145,155
Badland Hunters,crime,5.9,13000,107
Bagheera,crime,6.7,7700,158
Ballistic,crime,2.2,167,95
Bangkok Breaking: Heaven and Hell,crime,5.8,701,146
Bangkok Dog,crime,4.8,248,85
Barron's Cove,crime,6.1,200,116
Bars,crime,5.7,27,135
Bastar: The Naxal Story,crime,6.4,3300,124
Battle of Varchasva,crime,6.4,145,102
Bayamariya Brammai,crime,7.0,36,88
Beating Hearts,crime,7.0,6200,166
Beautifully Broken People,crime,8.9,9,75
Beauty Grace Malice,crime,7.6,45,81
Belle,crime,5.3,153,100
Below the Rim,crime,5.0,16,89
Beneath the Fold,crime,7.2,32,80
Bermondsey Tales: Fall of the Roman Empire,crime,4.3,218,99
Best Man Dead Man,crime,6.8,47,83
Beverly Hills Cop: Axel F,crime,6.4,83000,118
Bhaje Vaayu Vegam,crime,6.1,772,136
Bhakshak,crime,7.2,7300,134
Bhediya: The Hunter,crime,6.4,145,125
Bheema,crime,5.7,976,148
Biggest Heist Ever,crime,6.1,1600,85
Bigul,crime,8.9,56,144
Black Girl Fatal,crime,8.3,8,122
Black Gold,crime,6.4,145,77
Blackia 2,crime,5.8,133,132
Blackwater Lane,crime,4.6,2400,108
Blind Escape,crime,6.4,145,84
Blitz,crime,7.2,9,102
Blood & Betrayal,crime,6.4,145,102
Blood Brothers,crime,6.4,145,102
Blood Dried Hands,crime,6.2,169,115
Blood Star,crime,6.3,6200,97
Blood Suckaz,crime,4.2,6,102
Blood and Black,crime,7.1,1100,88
Bloodline Killer,crime,4.2,5200,105
Bloody Money,crime,6.4,145,81
Blue Christmas,crime,5.8,21,79
Blue Ice,crime,8.8,23,102
Bodiless,crime,5.7,1100,90
Bodyguard for Sweetheart,crime,6.4,145,127
Bogota: City of the Lost,crime,5.4,2100,108
Bogus Phone Operators,crime,8.8,6,102
Bond of Justice: Kizuna Part I - Encounter,crime,5.6,20,92
Bond of Justice: Kizuna Part II - Judgement,crime,6.4,145,88
Boneyard,crime,4.1,5300,96
Borderless Fog,crime,5.2,1300,110
Bottom of a Glass Blues,crime,6.4,145,101
Bougainvillea,crime,6.4,3400,138
Boundless,crime,5.6,2100,121
Boyz,crime,6.4,145,132
Bozji gnjev,crime,7.2,59,111
Brattt,crime,4.6,70,117
Break War,crime,2.7,17,86
Breaking the Silence: The Maria Soledad Case,crime,6.3,548,95
Breathe,crime,8.8,43,102
Broken,crime,6.4,145,92
Broken Rage,crime,6.1,1700,62
Brothers,crime,5.4,14000,89
Buenas noches,crime,6.5,17,91
Bullets N Love,crime,6.4,145,81
"Bullets, Brothers and Blood",crime,7.8,15,85
Bunny & Clive,crime,2.4,28,76
Bury Him,crime,6.8,19,88
Butler Under Fire,crime,6.4,145,102
CD-R,crime,6.4,145,70
CHAAW: Chapter 3 - Christmas Time Is Here,crime,7.9,476,72
Ca$$$hing Out,crime,6.4,145,90
Cafe 404,crime,6.0,103,93
Cageling,crime,5.8,8,69
Carry-On,crime,6.5,174000,119
Case #111-878,crime,6.4,145,102
Case of Kondana,crime,5.8,726,143
Castillo,crime,7.9,36,128
Chacaleria,crime,7.8,423,116
Chameleon,crime,5.6,37,133
Chapter 51,crime,6.4,145,120
Charlotte Link - Ohne Schuld,crime,5.5,43,89
Chasing Through Time,crime,6.4,145,98
Chhapa,crime,6.4,145,66
ChiefsAholic: A Wolf in Chiefs Clothing,crime,6.2,413,121
Chithini,crime,5.9,552,151
Chitram Choodara,crime,4.5,15,127
Chivaraku Migiledi,crime,6.4,145,63
Chor Dil,crime,7.5,40,135
Chris Brown: A History of Violence,crime,5.4,334,82
Citizen of a Kind,crime,6.6,929,114
City Hunter,crime,6.3,5800,102
City of Goons,crime,6.4,145,95
Cluedo,crime,6.4,145,78
Code 8: Part II,crime,5.7,16000,100
Coin of Fate,crime,6.4,145,79
Cold Noodle,crime,6.4,145,75
Colors of Evil: Red,crime,6.4,8700,111
Colourful Crime,crime,6.4,145,102
Common Creed: Trafficking,crime,6.6,13,106
Common Sense,crime,3.4,21,68
"Compa, me gusta su vieja",crime,6.0,29,86
Comrade Yuri,crime,6.4,145,102
Con Queens,crime,6.2,23,80
Conquer: Lahad Datu,crime,6.6,553,120
Conviction,crime,7.0,41,97
Cookster: The Darkest Days,crime,8.2,44,119
Corpórea,crime,5.9,8,102
Cravings,crime,1.7,14,155
Crescent City,crime,3.9,1500,103
Crime List,crime,6.4,145,102
Crime Reel,crime,7.5,141,111
Crisis Negotiators,crime,6.7,757,120
Crumbling Castle,crime,6.4,145,69
Cry of Silence,crime,6.0,82,116
Cubic,crime,6.4,145,102
Cubic Zirconia,crime,7.0,74,102
Cult Killer,crime,4.8,2900,105
Cursed in Baja,crime,6.3,29,80
DNA,crime,5.1,218,156
Dai jia fa de ren,crime,5.5,64,121
Damaged,crime,4.7,7700,97
Dandupalayam,crime,5.9,1500,137
Danger in the Dorm,crime,5.0,166,86
Dangerous Rumors,crime,7.6,55,102
Dank Frank,crime,6.4,145,83
Daredevil vs Punisher,crime,6.8,5,83
Dark Deceptions,crime,6.2,38,82
Dark Forest,crime,6.4,145,102
Dark World,crime,4.9,19,135
Darkness of Man,crime,4.7,3300,109
Dawgz Life,crime,8.3,14,143
Dead Mail,crime,6.0,2200,106
Dead Man,crime,5.1,218,109
Dead Name,crime,9.0,11,84
Dead Sea,crime,5.2,5500,88
Dead Wrong,crime,3.7,297,104
Deadly Ruphoria,crime,6.1,37,102
