Title,Genre,Ratings,Vote_Counts,Runtime
#Comicsgate - How to Kill a Movement,documentary,7.4,21,127
#RevolutionAnyone,documentary,7.4,21,84
#UNTRUTH: The Psychology of Trumpism,documentary,7.2,193,90
"(Re)membering the riots in Afrikaanderwijk in 1972 or guest, host, ghos-ti",documentary,7.4,21,86
*smiles and kisses you*,documentary,8.0,12,88
...and Juliet,documentary,7.4,21,86
01,documentary,7.4,21,100
01 Redux,documentary,7.4,21,86
045 - Sporen van Mijnstreek-Oost,documentary,9.3,8,86
06.02 Umut,documentary,7.4,21,86
1 Thessalonians,documentary,7.4,21,86
1-800-on-Her-Own,documentary,7.7,20,77
10 rounds,documentary,7.4,21,86
100 Yillik Armagan,documentary,7.2,23,86
100 di questi anni,documentary,7.2,8,90
100dB Indust-bag,documentary,8.9,10,61
101 Reasons to Visit South Korea,documentary,7.4,21,86
11 Brothers: The Movie,documentary,7.4,21,86
11 Días en Ayacucho,documentary,7.4,21,86
12 Digit Masterstroke: The untold story of Aadhar,documentary,9.5,15,86
13 Lentes De Um Final Feliz (Documentário Completo),documentary,9.8,44,410
142 hronia,documentary,7.7,18,74
1952: The Invasion of Washington,documentary,7.4,21,86
1953. Walka o nadzieje,documentary,7.4,21,75
2 Peter,documentary,7.4,21,86
20.10.20 - Flugten Fra Herstedvester,documentary,7.4,21,86
2001: Creating Kubrick's Space Odyssey,documentary,7.8,10,86
2023 San Diego International Kids' Film Festival,documentary,7.4,21,86
"2023, L'année Où Tout S'est Embrasé - Backseat, Le Film",documentary,7.4,21,68
2073,documentary,5.1,33,85
22 Words: Exposing the Loss of Decency in American Education,documentary,7.0,11,86
23 Mile,documentary,7.3,6,78
24,documentary,7.4,21,1464
24 Stunden,documentary,7.4,21,100
24th International Theatre Festival Melikhovo Spring,documentary,7.4,21,86
2550,documentary,7.6,79,62
26 Hours,documentary,7.4,21,86
2Unbreakable,documentary,8.6,7,90
3 Atos de Moisés,documentary,7.4,21,86
3 Obás de Xangô,documentary,8.1,11,86
"30 Ausflüge auf Seen, Flüssen und Kanälen",documentary,7.4,21,86
33 Black Frog: An American Story,documentary,7.4,21,86
3500 Km De Sentiers Partagés,documentary,7.4,21,86
35000 Watts: The Story of College Radio,documentary,7.4,8,73
399: Queen of the Tetons,documentary,7.8,38,90
4%: Un Documental de EDUCA,documentary,7.4,21,90
50 ans de rock à Nyon - Histoires,documentary,7.4,21,86
50 sentimentalnih: Srdjan Marjanovic,documentary,7.4,21,77
500 Years of Friendship,documentary,7.4,21,86
5460: the Joe West Story,documentary,7.4,21,86
55 Years Glavbolgarstroy,documentary,9.5,15,86
5G LTE n 2643,documentary,7.4,21,86
5th Round,documentary,6.1,14,86
601 Gamespittaz,documentary,7.4,21,86
64 Days,documentary,9.2,18,86
67 Bombs to Enid,documentary,7.4,21,88
69 Kg,documentary,7.4,21,64
7 Beats Per Minute,documentary,8.0,19,100
7 Day Fast,documentary,7.4,21,86
7 Days at the Maternity Ward in Ghana,documentary,7.4,21,86
7 octobre 2023 - Un crime sans nom,documentary,7.4,21,77
70 Jahre Kreismusikschule Wittenberg,documentary,7.4,21,151
7291,documentary,7.1,61,86
76 Days Adrift,documentary,7.4,21,105
8 Islands,documentary,9.0,25,66
8 Second Legends,documentary,7.4,21,86
8 secondes,documentary,7.4,21,89
87 Candles,documentary,9.1,11,86
8th Day of Khamsin,documentary,7.7,7,77
9/11: Crime Scene to Courtroom,documentary,7.4,21,86
A Almería de Leone,documentary,7.4,21,86
A Backyard in Delaware,documentary,7.4,21,96
A Bit of a Stranger,documentary,7.3,42,90
A Body to Live In,documentary,7.2,9,98
A Boston (R)Evolution,documentary,6.4,16,86
A Bridge to Life,documentary,7.4,21,98
A Cabeça não é um sítio seguro,documentary,7.4,21,86
A Case for Love,documentary,7.7,16,115
A Celebration of Tenacity,documentary,7.4,21,86
A Century in Sound,documentary,8.6,11,101
A Certain Woman,documentary,7.4,21,86
A City in Crisis,documentary,7.4,21,76
A Clockwork Shining: Kubrick's Odyssey 3,documentary,6.2,43,109
A Cowardly Rout: The Bull Run Account of William Howard Russell,documentary,7.4,21,86
A Deal with the Devil?,documentary,7.4,21,86
A Drive into Yesterday,documentary,7.4,21,86
A Father a Son and Sankara,documentary,7.4,21,90
A Festa do Cururuquara - Um Quilombo do Samba de Bumbo Paulista,documentary,7.4,21,86
"A Few Mornings, an Evening",documentary,6.4,16,71
A Fidai Film,documentary,7.0,64,78
A Filmmaker's Diary,documentary,7.4,21,60
A Flaming Forest,documentary,7.4,21,86
A Flash of Beauty: Paranormal Bigfoot,documentary,7.8,57,86
A Fly on the Wall,documentary,8.2,11,82
A Frown Gone Mad,documentary,6.9,9,71
A Harvest,documentary,7.4,21,86
A Hero's Journey: The Making of Percy Jackson and the Olympians,documentary,7.4,254,86
A Hip Hop Minute,documentary,7.6,16,90
A Horse Named Winx,documentary,8.7,102,117
A House Is Not a Disco,documentary,7.2,32,90
"A Hundred Masks, One Soul",documentary,7.4,21,60
A King Like Me,documentary,6.8,58,90
A La Fin du Film - Real Madrid v Bayern Münich,documentary,7.4,21,86
A Letter of Divorcement,documentary,7.4,21,86
A Life in Rhythm: The Ray Conniff Story,documentary,7.4,21,86
A Life in Tandem,documentary,7.4,21,96
A Long Way from Heaven,documentary,9.2,17,63
A Look Back with Leonard Maltin - Once Upon A Time in the West,documentary,7.4,21,86
A Look Through His Lens,documentary,7.4,12,86
A Loving Act,documentary,7.4,21,80
A Man Called Hurt: The Life and Music of Mississippi John Hurt,documentary,7.4,21,65
A Man Fell,documentary,9.1,20,70
A Man Imagined,documentary,7.7,11,62
A Man with Sole: The Impact of Kenneth Cole,documentary,7.4,7,98
A Million Smiles,documentary,7.4,21,86
A Mother Apart,documentary,8.4,28,89
A NORMAL LIFE,documentary,7.4,21,86
A New Kind of Wilderness,documentary,7.6,13,84
A Pathway Forward,documentary,7.4,21,80
A Photographic Memory,documentary,7.5,34,87
A Piece of Home,documentary,7.4,21,86
A Portrait of Love,documentary,7.4,21,90
A Quiet Girl,documentary,6.8,40,86
A Race to the Reckoning,documentary,7.4,21,86
A Radical Act: Renee Montgomery,documentary,7.5,33,104
A Resilient Man,documentary,7.4,41,90
A Right to Home,documentary,7.4,21,60
A Sacred Space,documentary,7.4,21,86
A School Grows in Watts,documentary,7.4,21,78
A Sense of Beauty,documentary,6.4,5,62
A Sentimental Journey to the Parajanov Planet,documentary,7.8,21,80
A Shaman's Tale,documentary,7.4,21,86
A Simple Plan Commentary with Production Designer Patrizia von Brandenstein,documentary,7.4,21,86
A Sisters' Tale,documentary,6.7,32,92
A Sobering Story,documentary,9.8,23,97
A Song of Korean Factory Girls,documentary,7.4,21,83
A Splash of Colour,documentary,7.4,21,295
A State of Passion,documentary,8.5,20,90
A Story of Redemption A Season with Warrior Basketball,documentary,7.4,21,86
A Strange Colour of Dream,documentary,7.4,21,74
A Sudden Glimpse to Deeper Things,documentary,6.1,79,88
A Séance with the Queens,documentary,7.4,21,86
A Time to Yell: More Than a Statue,documentary,8.5,6,68
A Want in Her,documentary,7.7,32,82
A Will and A Way,documentary,9.7,7,90
A Wolf in Sheep's Clothing,documentary,7.4,21,86
A Year in the Life of a Country,documentary,7.5,19,85
A legpompásabb emberi elme - Neumann János élete,documentary,7.7,24,86
A modo mio - Patty Pravo,documentary,7.4,21,86
A nuestros amigos,documentary,7.5,15,90
A través de la tierra,documentary,7.4,21,77
A Última Banda de Rock,documentary,7.7,13,120
A.P. Giannini - Bank to the future,documentary,8.2,18,73
ABBA: Against the Odds,documentary,7.3,600,90
ADA: My Mother the Architect,documentary,8.3,48,81
AI Decoded: Creativity or Chaos,documentary,7.4,21,86
AI Evolution,documentary,4.3,48,86
AI: Artificial Influence,documentary,7.4,21,62
ARCA Historia de un Sueño,documentary,7.4,21,86
ARD NDR William Vom Kronprinzen zum König 2024,documentary,7.4,21,86
ARI - Una historia de amor y vida,documentary,7.4,21,86
ARTIFICIAL: Media Production in an Age of AI,documentary,7.4,21,86
Abba: 50 Years Since Eurovision,documentary,6.7,96,86
Abbie Ward: A Bump in the Road,documentary,7.4,21,86
Abducted humans on alien planets,documentary,7.4,21,86
Abel Azcona: el artista detonante,documentary,8.6,7,62
Abiding Nowhere,documentary,6.6,119,79
Abo Zaabal 89,documentary,8.1,24,83
About a Hero,documentary,6.4,50,84
Abu Dhabi: The Shining City,documentary,7.4,21,86
Accept Me,documentary,7.4,21,85
Accident. Nineteen days of survival.,documentary,7.4,21,105
Acción Exterior,documentary,7.4,21,86
Achim Benning - Homo Politicus,documentary,7.4,21,60
Acid Burma,documentary,7.4,21,60
Acordo com Lampião? Só na Boca do Fuzil!,documentary,8.2,16,89
Acre Wall Jumpers,documentary,7.4,21,86
Across America,documentary,7.4,21,86
Across Dark Matter,documentary,7.4,21,82
Across the Tracks: A. Las Vegas Westside Story,documentary,7.4,21,86
Acting,documentary,8.0,10,145
Acts of Reparation,documentary,7.4,21,113
Adam Sandler: From Stand Up to Grown Up,documentary,8.2,10,86
Admissions Granted,documentary,7.2,31,90
"Ado SPECIAL LIVE ""Shinzou"" in Cinema",documentary,9.3,48,140
Adriana Varejão: Entre Carnes e Mares,documentary,7.4,21,86
Adrianne & the Castle,documentary,7.5,32,86
Adrienne Iapalucci: The Dark Queen,documentary,6.5,326,86
Ady Steg,documentary,7.4,21,86
Aespa World Tour in Cinemas,documentary,8.0,106,125
Affiliated,documentary,7.4,21,86
Afghan Girl's Journey to Identity,documentary,7.4,21,86
Africa: The Battle for the Ballot Box,documentary,7.4,21,86
"Afrobeats, phénomène mondial",documentary,7.4,21,86
Afrolatinas: 30 anos em movimentos,documentary,7.4,21,90
After the Rain: Putin's Stolen Children Come Home,documentary,7.9,12,79
After the Snowmelt,documentary,6.4,48,110
After the Tide,documentary,7.4,21,86
Afterlife,documentary,6.0,6,86
Afternoon Worship,documentary,7.4,21,86
Afternoons of Solitude,documentary,7.3,740,125
Afterwar,documentary,6.7,47,85
Ag Lorg Hy-Brasil,documentary,7.4,21,86
Against All Odds: Virus Detectives Battling Covid-19,documentary,7.4,21,86
Against the Wind,documentary,7.4,21,80
"Agathe, Solange et moi",documentary,5.8,29,71
Agent of Happiness,documentary,7.2,12,93
Agents for Citizen-driven Transformation (ACT),documentary,7.4,21,60
Ah Cheung: Wings of Hope,documentary,7.4,21,86
Ahir Shah: Ends,documentary,6.5,78,61
Aida Returns,documentary,7.4,21,72
Aiming High: A Race Against the Limits,documentary,7.7,9,90
Ain't Got Time to Die,documentary,7.4,21,86
Ain't No Back to a Merry-Go-Round,documentary,7.8,14,89
Ainda é 7 de Outubro,documentary,7.4,21,77
Ainsi soient-ils,documentary,7.4,21,86
Ainu Puri,documentary,7.1,8,83
Aires Marines Protégées Une imposture française,documentary,7.4,21,86
Aitana Bonmatí,documentary,6.3,10,90
Això no va de futbol,documentary,7.4,21,86
Ajuste de Pérdidas,documentary,5.5,6,74
Akademische Abgründe - Rechtsextremismus im Hörsaal,documentary,7.4,21,68
Akkord,documentary,7.4,21,72
Al Awda,documentary,7.4,21,70
Al Cim (Catalan towers),documentary,7.4,21,81
Al Fayed: Predator at Harrods,documentary,5.4,100,89
Al Kafi,documentary,7.4,21,110
Al Primo & His Eyewitness News Revolution,documentary,7.4,21,86
Al margen,documentary,6.3,42,90
Al nahar howa al layl,documentary,7.4,21,345
Al son de Beno,documentary,7.4,21,86
Alarme Silencioso,documentary,7.4,21,77
Alberta Number One,documentary,7.4,21,83
Album de Familia,documentary,7.4,21,73
Alchemy Pathway to Profound Powers,documentary,7.4,21,100
Alcohol in Space: The Movie,documentary,7.4,21,86
Aldo Baldin - Uma Vida pela Música,documentary,7.4,21,103
Alexander: The Great Pharaoh,documentary,8.8,7,86
Alexis Arguello,documentary,7.4,21,110
Ali je bilo kaj avantgardnega?,documentary,7.4,21,98
Alias,documentary,7.4,21,86
Alice: On & Off,documentary,7.3,133,90
Alien Abduction: The Twelve,documentary,8.1,45,86
Alien Desert Legend,documentary,7.4,21,86
Alien Encounters: The Impending Invasion,documentary,7.4,21,86
Alien Experiencers,documentary,6.6,12,70
Alien Humans on Mars,documentary,7.4,21,86
Alien Mummies,documentary,7.4,21,86
Alien Planets,documentary,7.4,21,86
Alien Weaponry: Kua Tupu Te Ara,documentary,6.7,10,99
Alien: The Definitive History,documentary,7.4,21,86
Aliens Expanded,documentary,8.1,634,282
Aliens Uncovered: Buried Cities & Lost Tribes,documentary,8.4,12,86
Aliens Uncovered: Close Encounters,documentary,7.3,16,86
Aliens Uncovered: Declassified,documentary,6.3,23,86
Aliens Uncovered: Marilyn Monroe Exposed,documentary,5.9,20,86
Aliens Uncovered: Portal Encounters,documentary,6.4,16,86
Aliens Uncovered: The Land of Legends,documentary,8.3,11,86
Aliens Uncovered: The Thunder God,documentary,7.2,11,86
Aliens Uncovered: UFOs Over Arizona,documentary,7.3,20,116
Aliens on Earth: The True Story of Human's Origin,documentary,7.4,21,86
Aliens: The Esoteric Encounters,documentary,7.4,21,86
Alipato at muog,documentary,9.0,6,96
Aljazev stolp: Ta pleh ima duso,documentary,7.4,21,86
All Access to Rossa 25 Shining Years,documentary,8.7,66,91
All American,documentary,9.6,18,87
All Blinds,documentary,7.4,21,71
All God's Children,documentary,9.0,10,100
All I Ever Wanted,documentary,7.4,21,98
All Illusions Must Be Broken,documentary,8.2,28,89
"All Saints: The Journey of Orthodoxy in Bloomington, Indiana",documentary,7.4,21,90
All We Carry/Lo Que Llevamos,documentary,8.9,16,88
All and Nothing,documentary,7.4,21,86
All the Eyes,documentary,8.7,309,80
All the Mountains Give,documentary,8.7,33,91
All the President's Men,documentary,6.5,75,86
All the Prophets in all the World,documentary,7.4,21,86
All we shared. The Wendy and Kevin Holdener Story,documentary,7.4,21,86
All-In the Trilogy Team Jumbo-Visma,documentary,8.2,53,86
Allan - The Last Glassblower,documentary,7.4,21,86
Allegedly - The Trial of Loski,documentary,7.4,21,86
Alles Goed,documentary,6.3,10,116
Alma - Life Must Be Beautiful,documentary,5.9,31,99
Alma del desierto,documentary,7.1,34,87
Almas de Arena,documentary,7.4,21,102
Aloha Spirit Rising,documentary,7.4,21,86
Alone Together,documentary,7.4,21,86
Alphas,documentary,6.8,17,86
Als ik mijn ogen sluit,documentary,7.8,35,95
Altar Call,documentary,7.4,21,86
Altar Ministries: Bibleway Churches UK,documentary,7.4,21,86
Altitude FC: Rising Together,documentary,7.4,21,86
Altitudes,documentary,7.4,21,82
Always Remember Your Name,documentary,7.4,21,86
Além dos Silêncios,documentary,7.4,21,83
Am I Racist?,documentary,6.6,17,100
Amadeu,documentary,7.4,21,86
Amakki (Your Mother),documentary,7.4,21,104
Amalur,documentary,7.4,21,86
Amandine,documentary,7.4,21,86
Amanhã,documentary,7.4,21,86
Amar,documentary,8.8,10,86
Amarrée,documentary,7.4,21,86
Amazonia Azul,documentary,7.4,21,86
"Amazonia, an encounter with the guardians of the rainforest",documentary,7.4,21,86
