Title,Genre,Ratings,Vote_Counts,Runtime
#AMFAD: All My Friends Are Dead,horror,4.5,1300,91
#MissingCouple,horror,5.3,754,93
#Models Wanted,horror,8.5,33,90
(Pri)sons,horror,5.0,299,100
"...Mayombe, Paula?",horror,5.3,86,90
.ask,horror,6.8,81,89
10/31 Part 4,horror,5.5,18,87
105 Minutes,horror,4.1,2300,120
12 to Midnight,horror,3.6,301,96
1978,horror,5.0,759,80
1st Japan Horror Film Competition: Winning Works,horror,5.3,86,105
200KG Vampire,horror,4.0,62,93
2nd Japan Horror Film Competition: Winning Works,horror,5.3,86,111
3 Strikes You're Dead,horror,5.3,86,90
3. Gece Habis,horror,6.4,19,90
30 to 45,horror,3.9,17,118
31 Kills of Halloween,horror,1.6,6,90
404 Run Run,horror,5.7,504,104
4:44 : Time of Fear,horror,5.3,21,90
4th Die-Mension,horror,5.3,86,90
9 Windows,horror,3.6,328,82
A Coffin of Stars,horror,5.2,6,100
A Cold Grave,horror,3.5,278,75
A Desert,horror,5.7,484,103
A Detox Horrific,horror,5.3,86,72
A Fisherman's Tale,horror,6.0,146,103
A Game in the Woods,horror,7.2,28,80
A Gong,horror,7.3,9,107
A Halloween Feast,horror,4.7,811,103
A Haunting in Council House,horror,4.9,57,94
A Hell of a Difference,horror,4.7,50,80
A Herança,horror,5.3,246,80
A Hot Mess,horror,5.3,86,90
A Lenda dos Quatro,horror,5.3,86,90
A Maldição de Romanova,horror,4.4,17,80
A Melty Kiss Lost in the Abyss - Un Dolce Bacio Perduto nell'Abisso -,horror,6.5,24,91
A Most Atrocious Thing,horror,3.8,261,75
A Mother's Embrace,horror,5.8,645,90
A New Dawn,horror,5.3,86,60
A Noiva,horror,5.3,86,73
A Party for Karl Marx,horror,5.3,86,74
A Quiet Place: Day One,horror,6.3,156000,99
A Sacrifice,horror,5.0,5800,94
A Savior Red,horror,5.1,270,87
A Stranger in the Woods,horror,4.8,710,83
A Time to Die,horror,5.3,86,105
A Vanished Puppet,horror,5.3,86,85
A Very Flattened Christmas,horror,6.1,37,95
A Wedding Story,horror,6.0,2800,110
A Witch Lives in the Attic,horror,5.3,86,88
A yard of jackals,horror,7.2,42,108
A.R.C.A,horror,5.3,86,90
ANiMA,horror,5.3,86,88
Abaasylaakh Khaus,horror,7.2,7,70
Abductee,horror,5.3,86,119
Abduction Chronicles,horror,8.6,37,126
Abduction: The Harvesting,horror,5.6,13,90
Abigail,horror,6.5,101000,109
Abnormal: Buas,horror,5.7,28,90
Adipocere,horror,5.3,86,90
Adopt me All hallows Eve II,horror,5.3,86,90
Adrian,horror,5.3,86,90
Advent,horror,4.3,32,77
Adze the African Vampire,horror,3.4,61,81
Afraid,horror,5.2,15000,84
After Link,horror,7.5,20,90
After the First Five Nights,horror,5.3,86,90
Agapouse ta louloudia perissotero,horror,5.3,190,86
"Agnes, Beauty is a Painted Hell",horror,5.3,86,90
Agrinai,horror,7.9,67,93
Ahbar,horror,3.0,15,80
Aiden,horror,2.5,135,74
Air Fryer Slaughter,horror,6.3,567,90
Akh,horror,5.3,111,137
Akkada Varu Ikkada Unnaru,horror,9.1,1000,103
Alaikyaa,horror,5.3,86,90
Alem-i Cin 5: Azap,horror,4.1,15,76
Alien Country,horror,4.5,418,96
Alien Legacy: Terror on Luxor Ridge,horror,5.8,21,127
Alien: Romulus,horror,7.1,256000,119
All Hallows' Eve: Inferno,horror,4.3,137,74
All That Remains,horror,6.1,25,70
All We Wanted,horror,3.5,72,103
All of it Ends,horror,5.3,86,90
Alone,horror,7.8,15,88
Alone in the Night,horror,3.8,8,90
Alpacalypse,horror,5.8,35,77
Alter-Ego Film Project,horror,5.3,86,90
Alyad Palyad,horror,6.9,1200,129
Am Fear Liath,horror,5.4,44,90
Ame no naka no yokujô,horror,5.9,88,132
American Terror Tales 3,horror,2.5,52,90
American Werewolf,horror,1.6,124,67
Amigo,horror,5.3,86,90
Amir,horror,5.4,20,70
Amityville AI,horror,3.9,49,90
Amityville Backrooms,horror,4.5,32,72
Amityville Bigfoot,horror,3.0,152,88
Amityville Turkey Day,horror,3.1,364,94
Amityville VR,horror,3.2,27,90
Amityville Webcam,horror,3.6,16,102
Amityville: Where the Echo Lives,horror,1.5,448,89
Amp House Massacre,horror,3.8,195,80
An Intruder Among Us,horror,8.1,37,90
Anaconda,horror,4.9,682,84
Anagana O Rajkumarudu,horror,5.3,86,90
Anak Perjanjian Syaitan 2,horror,6.4,34,89
Ananya,horror,8.8,887,136
Anatema,horror,4.2,224,91
Andrey Iskanov's Breaking Uroboros,horror,7.2,31,90
Angel with a Gun,horror,5.3,86,90
Angels Fallen: Warriors of Peace,horror,4.9,6400,103
Animale,horror,5.9,340,98
Anna,horror,5.3,86,75
Another Cabin in the Woods Movie,horror,4.7,239,77
Antropophagus Legacy,horror,5.3,86,100
Anxiety,horror,7.8,8,97
Apartment 7A,horror,5.9,17000,107
Apex Predators 2: The Spawning,horror,2.9,27,70
Aphasia,horror,4.9,18,90
Apocalypse Love,horror,7.3,8,90
Apocalypse Z: The Beginning of the End,horror,6.1,21000,117
Apokrif,horror,8.7,23,64
Apostando con el diablo,horror,5.3,86,103
Appetite for Sin,horror,5.4,71,90
Aranam,horror,7.5,402,127
Aranmanai 4,horror,5.0,2400,148
Arbor Day,horror,5.3,86,65
Arcadian,horror,5.5,25000,92
Archai,horror,5.3,86,87
Arctic Hollow,horror,2.3,184,70
Are Vampires Real,horror,5.3,86,90
Are You Dead Yet?,horror,8.0,8,90
Are You There?,horror,6.3,71,88
Art of a Hit,horror,4.2,220,93
As Close to Me As Always,horror,5.3,86,97
As Mortes de Hera,horror,5.3,86,70
Asgaar,horror,9.3,42,138
Asher and Ruth,horror,5.3,86,63
Ateet Ek Prem Kahani,horror,5.3,86,90
Atesten Dogan,horror,5.3,86,78
Athma,horror,5.3,86,90
Azrael,horror,5.4,12000,86
B Lines,horror,6.8,15,90
Ba,horror,7.4,68,79
Baby Invasion,horror,4.6,601,80
Baby Pillows,horror,5.3,86,90
Bad Ben 13: The Dracula Situation,horror,3.5,12,99
Bad Ben 14: Frankenstein,horror,5.3,86,106
Bad Fish,horror,3.3,347,84
Bad Things,horror,5.2,14,90
Bag of Lies,horror,3.8,598,96
Bagman,horror,4.7,6500,93
Balaayen,horror,5.3,86,90
Bananahead,horror,5.3,86,90
Bangsal Isolasi,horror,4.8,177,76
Bannkorb,horror,5.3,86,90
Bantay-bahay,horror,5.1,16,86
Barda,horror,4.6,686,99
Bare,horror,5.3,86,90
Baridegi: The abandoned Girl,horror,3.4,18,107
Basileia,horror,4.2,59,96
Beach Chain,horror,5.3,86,90
Bed of Nails,horror,4.8,28,104
Bedtime Stories: Tales of Love and Hate,horror,7.7,15,65
Beetlejuice Beetlejuice,horror,6.6,156000,105
Beezel,horror,4.9,1600,81
Behave,horror,3.0,207,88
Behold the Claw,horror,5.6,17,75
Believe Me or Not,horror,5.3,86,90
Believer,horror,4.6,440,108
Belldoor,horror,5.3,86,90
Beneath the Floorboard,horror,5.3,86,90
Bernadette will töten,horror,8.4,23,93
Bet on Black,horror,5.3,86,90
Betting with Ghost,horror,6.5,95,112
Bhairadevi,horror,8.6,53,134
Bhavanam: The Haunted House,horror,6.9,18,139
Bhool Bhulaiyaa 3,horror,4.6,78000,158
Bhootarth,horror,5.3,86,90
Bhootpori,horror,5.7,217,110
Biaz: Kara Iyenin Laneti,horror,5.1,405,89
Big Bad CGI Monsters,horror,4.4,39,60
Big Cats,horror,3.1,147,93
Big/Bad/Wolf,horror,4.0,7,90
Bigfoot,horror,5.5,27,90
Bigfoot Exorcist,horror,2.7,227,70
Bigfoot: The Movie - The Sequel,horror,5.4,15,90
Bijt,horror,5.8,54,105
Bisikan Setan,horror,6.7,11,88
Biswas Villa-An Unfinished Story,horror,8.6,21,90
Bitches Giving Stitches,horror,5.3,86,80
Black,horror,7.1,2900,115
Black Cab,horror,4.1,1900,88
Black Spines,horror,6.9,24,100
Black Theta,horror,7.4,11,109
Black Vale: Wolfsbane,horror,5.3,86,88
BlackOut,horror,7.2,22,90
Blackest Darkness,horror,5.5,75,76
Blackwater Lane,horror,4.6,2400,108
Bleeding,horror,4.3,364,97
Blodsuger,horror,6.7,9,94
Bloedhond,horror,5.3,86,92
Blood Debt,horror,5.4,209,100
Blood Demons,horror,5.3,86,134
Blood Dried Hands,horror,6.2,169,115
Blood Fight,horror,5.3,86,79
Blood Magick,horror,9.1,12,99
Blood Mountain Massacre,horror,5.0,44,89
Blood Red River Bed,horror,6.3,20,90
Blood Star,horror,6.3,6200,97
Blood and Black,horror,7.1,1100,88
Blood and Breakfast,horror,5.8,31,84
Blood of the Werewolf's Claw,horror,5.3,86,90
BloodWood,horror,5.3,86,89
Bloodline Killer,horror,4.2,5200,105
Bloodspawn,horror,6.6,14,76
Bloody Axe Wound,horror,5.0,1000,83
Bloody Bridget,horror,7.0,54,81
Bloody Ishq,horror,2.9,2200,138
Bloody Mary,horror,3.8,7,72
Bloody Trip: The Equinox Killer,horror,4.9,82,80
Blue Caveman,horror,5.3,86,90
Blurred Lines,horror,5.3,86,90
Bo Alajen,horror,5.3,86,90
Body & Soul,horror,3.1,43,75
Bogieville,horror,4.0,655,108
Bone Lake,horror,5.3,86,94
Boney Island Reality Show,horror,4.2,23,87
Boo Main Dargi,horror,6.2,23,90
Book of the Dead,horror,5.4,78,90
Bored Games,horror,3.5,120,76
Brain Tumor,horror,3.8,51,76
Bramayugam,horror,7.8,15000,139
Brandon Sigloch's the Riverside Slasher,horror,5.3,86,90
Bridge,horror,3.7,13,78
Bring Me a Skin for Dancing In,horror,4.1,195,90
Bring on the Damned!,horror,4.9,45,114
Broken Bird,horror,5.8,129,99
Bull Shark 3,horror,3.5,96,76
Bungalow Section 12,horror,2.4,61,88
Bunny Man Slaughter,horror,6.3,23,90
Bureau 749,horror,3.9,587,123
Burning,horror,8.0,6,101
Burning Butterflies,horror,7.8,94,103
Bury Your Dead,horror,5.4,82,128
Busted Babies,horror,7.7,14,87
Butchers Book Three: Bonesaw,horror,4.9,127,107
Butchers Book Two: Raghorn,horror,4.1,668,88
Buzz House: The Movie,horror,3.2,1300,93
Bystanders,horror,4.0,393,82
Byte,horror,3.4,162,97
Büyücü,horror,5.3,86,90
C202,horror,4.9,2200,135
Cacophony the Animated Movie,horror,5.3,86,81
Cadet,horror,6.9,60,126
Cadi,horror,6.3,4400,134
Camp Blood 9: Bride of Blood,horror,6.5,521,90
Camp Blood: Clown Shark,horror,3.3,96,70
Camp Pleasant Lake,horror,3.3,2400,90
Camp Terror,horror,4.4,40,110
Campfire Dead by Dawn,horror,3.0,65,87
Campton Manor,horror,3.4,245,83
Cara,horror,6.1,61,96
Carnage for Christmas,horror,4.5,351,69
Carved,horror,4.4,2900,95
Case 19: Vichchhiya,horror,5.3,86,90
Cast Party,horror,5.3,86,90
Catch a Killer,horror,5.8,14,82
Cellphone,horror,3.0,754,88
Chain Reactions,horror,7.1,115,103
Chainsaws Were Singing,horror,7.2,390,117
Changle zhen gui shi,horror,5.3,86,88
Chasing Zombies: A George Romero Tribute,horror,8.9,7,105
Chateau,horror,4.0,296,83
Cheongsam Merah Darah,horror,5.7,11,90
Chime,horror,6.4,2700,90
Chithini,horror,5.9,552,151
Choke,horror,7.5,22,98
Cholo Zombies,horror,4.5,107,96
Christmas Slasher,horror,5.4,9,90
Christmas Spirit,horror,5.3,86,150
Chum!,horror,3.4,78,90
Chuzalongo,horror,6.8,6,95
Cieco sordo muto,horror,7.1,9,85
Cin Bebek: Kabus,horror,5.3,86,82
