Title,Genre,Ratings,Vote_Counts,Runtime
#OOTD: Outfit of the Designer,romance,5.6,48,107
*YES I DO*,romance,6.3,131,102
0000 Kilometre,romance,2.8,284,110
10 Pasimatymu,romance,5.7,31,99
10 Things about Sally,romance,6.3,131,80
14 Days Love,romance,6.4,12,112
18×2 Beyond Youthful Days,romance,7.3,2100,123
1970 Love Story,romance,8.2,16,102
1980 Lo Radhekrishna,romance,8.3,1200,102
3. Gun,romance,3.8,163,102
3391 Kilometres,romance,4.3,1300,110
36-24-36,romance,6.0,244,118
40,romance,4.7,27,103
43 Degrees North,romance,6.3,131,102
5lbs of Pressure,romance,5.2,1800,111
7 Days to Get Rid of My Ex,romance,6.3,131,106
8 Views of Lake Biwa,romance,5.2,134,126
9 Lives,romance,6.3,131,102
A '90s Christmas,romance,6.0,1200,90
A Bluegrass Christmas,romance,6.0,248,84
A Brooklyn Love Story,romance,5.3,115,107
A Christmas Castle Proposal: A Royal in Paradise 2,romance,6.3,350,102
A Christmas Dream,romance,4.9,54,94
A Christmas Gift,romance,6.3,131,102
A Christmas Thrill,romance,6.3,131,102
A Christmas of Wonders,romance,4.9,131,86
A Circus Tale & a Love Song,romance,5.9,114,114
A Country Music Christmas,romance,6.6,105,102
A European Christmas,romance,4.7,199,90
A Family Affair,romance,5.4,38000,111
A Fragile Flower,romance,7.9,1600,96
A Garota do Bar,romance,6.3,131,102
A Ghetto Love Story,romance,9.3,13,102
A Heart for Christmas,romance,7.6,102,91
A Heart on the Mend - Part 2,romance,6.3,131,76
A Hero is Born,romance,6.3,131,115
A Hold on Me,romance,6.3,131,103
A Love to Last,romance,6.3,131,114
A Love to Remember,romance,6.3,131,163
A Lovely Résumé,romance,9.2,7,70
A Man and a Woman,romance,6.3,131,117
A Man's Promise,romance,7.0,54,102
A Merry Royal Christmas,romance,5.4,166,88
A Minor Malfunction,romance,6.3,131,102
A Mother's Lie,romance,6.3,131,102
A Mountain Between Us,romance,5.3,34,89
A Nice Indian Boy,romance,7.4,2500,96
A Night in July,romance,6.3,131,88
A Place Called Love,romance,6.3,131,102
A Player's Heart,romance,6.3,131,96
A Ride for Love,romance,6.3,131,93
A Soldier for Christmas,romance,8.2,8,91
A Song for Juliette,romance,6.3,131,102
A Soweto Love Story,romance,4.4,288,101
A Thing Called Love,romance,6.3,131,86
A Thousand Faces,romance,8.7,139,85
A Toast to Love,romance,5.7,152,89
A True Gentleman,romance,4.5,2300,110
A Very Bayou Holiday,romance,5.2,11,87
A Vintage Christmas,romance,6.5,373,102
A Wall Away,romance,4.9,76,90
A Wife by Default,romance,6.3,131,88
Aaram Aravinda Swamy,romance,9.3,331,132
Abhi,romance,8.1,46,135
Across the Sea,romance,6.3,96,112
Acuerdate de mí,romance,6.3,131,102
