Title,Genre,Ratings,Vote_Counts,Runtime
11 Brothers: The Movie,sport,6.9,112,100
1600 Meter,sport,6.9,112,106
1984: 40 Years Strong and True,sport,6.9,112,100
4 Zéros,sport,3.6,183,105
8 secondes,sport,6.9,112,89
87 Candles,sport,9.1,11,100
9 Hao Chuan Qi,sport,6.9,112,100
A Game of Two Halves,sport,7.1,25,100
A Horse Named Winx,sport,8.7,103,117
A La Fin du Film - Real Madrid v Bayern Münich,sport,6.9,112,100
A Piece of Home,sport,6.9,112,100
All American,sport,9.6,18,87
Alpha.,sport,6.9,278,100
Altitude FC: Rising Together,sport,6.9,112,100
Anytime,sport,8.9,25,62
Argentina '78,sport,7.1,218,100
Arthur the King,sport,7.0,35000,107
Athletes of War,sport,6.9,112,95
Atlético Marbella. Aquel Fútbol de los 90,sport,6.9,112,100
Baki Hanma VS Kengan Ashura,sport,5.7,2000,62
Balestra,sport,5.1,545,145
Bartali's Bicycle,sport,7.5,10,80
Basketball Jones: The First Chapter,sport,6.9,112,100
Battle of the Baddest,sport,6.1,95,61
Being 500 A Professional Wrestling Documentary,sport,6.9,112,100
Below the Rim,sport,5.0,16,89
Beta Squad vs AMP Charity Match 2024,sport,7.3,9,210
Beyond the Podium: Celebrating Canadian Women Champions,sport,6.9,112,100
Big Water Theory,sport,6.9,112,83
Bionic,sport,4.3,1800,110
Block Pass,sport,7.0,491,104
Blue Lock: Episode Nagi,sport,6.6,2700,91
Blue Star,sport,6.9,1600,166
Boxer,sport,6.4,1400,150
CZW: Tournament of Death 21,sport,6.9,112,100
Challenger,sport,5.7,224,95
Challengers,sport,7.0,160000,131
Champions in May,sport,6.9,112,127
Champions of the Golden Valley,sport,9.2,78,81
Chandu Champion,sport,7.8,35000,142
Chava. El ciclista del pueblo,sport,6.5,14,100
Choices & Decisions,sport,6.9,112,74
Clash of Dynasties: St. Edward vs Walsh Jesuit,sport,6.9,112,100
Cold Brew,sport,6.9,112,100
Color of Victory,sport,6.1,40000,157
Concussed: The American Dream,sport,7.7,47,100
Crakk: Jeetega... Toh Jiyegaa,sport,4.7,6500,154
Cup,sport,8.6,86,146
Dabaru,sport,8.9,652,131
Daley,sport,7.8,184,102
