Title,Genre,Ratings,Vote_Counts,Runtime
#AMFAD: All My Friends Are Dead,thriller,4.5,1300,91
'Descontrol',thriller,6.0,154,99
"...Mayombe, Paula?",thriller,6.0,154,99
1 Million Followers,thriller,4.6,799,101
10 Days of a Curious Man,thriller,5.7,1400,110
10/31 Part 4,thriller,5.5,18,87
105 Minutes,thriller,4.1,2300,120
10FT Down,thriller,6.4,26,98
11 Rebels,thriller,6.3,773,155
1134,thriller,6.3,1300,103
12 to Midnight,thriller,3.6,301,96
13th Summer,thriller,4.3,183,96
1978,thriller,5.0,759,80
2 Days in Quito,thriller,6.0,154,124
2029,thriller,5.0,10,99
2073,thriller,5.1,3300,85
26 January,thriller,6.0,154,99
2B Honest,thriller,4.2,110,125
30 to 45,thriller,3.9,17,118
31st Movie,thriller,9.6,19,145
37 : L'ombre et la proie,thriller,5.7,158,93
3Devi,thriller,9.0,22,126
40 Acres,thriller,7.1,790,113
4N6,thriller,9.4,63,117
4PM,thriller,5.6,212,111
5lbs of Pressure,thriller,5.2,1800,111
7 Keys,thriller,6.2,33,93
72 Hours,thriller,4.0,339,87
8PM to 8AM,thriller,6.0,154,99
9 Windows,thriller,3.6,328,82
A Christmas Gamble,thriller,7.2,29,99
A Coffin of Stars,thriller,5.2,6,100
A Cold Grave,thriller,3.5,278,75
A Dangerous Prey,thriller,6.7,67,99
A Day for Driving,thriller,6.0,154,78
A Desert,thriller,5.7,484,103
A Different Man,thriller,6.9,32000,112
A Fisherman's Tale,thriller,6.0,146,103
A Girl with Closed Eyes,thriller,5.9,51,105
A Good Man 2,thriller,6.5,59,99
A Hot Mess,thriller,6.0,154,99
A Killer Inside,thriller,6.0,154,99
A Killer in the House,thriller,2.6,164,90
A Knife in the Dark,thriller,3.2,90,76
A Man is Dead,thriller,6.0,154,99
A Mensageira,thriller,6.0,154,142
A Mirror of Deception,thriller,7.2,24,87
A Mistake,thriller,5.6,1100,101
A Nanny's Revenge,thriller,4.1,174,90
A Quiet Place: Day One,thriller,6.3,156000,99
A Sacrifice,thriller,5.0,5800,94
A Savior Red,thriller,5.1,270,87
A Silent Crime,thriller,6.0,154,99
A Strange House,thriller,5.3,388,110
A Stranger by the Hill,thriller,6.0,154,100
A Stranger's Child,thriller,5.4,135,88
A Szobor,thriller,6.0,154,99
A Vanished Puppet,thriller,6.0,154,85
A Widow Seduced,thriller,5.0,188,82
A kiút,thriller,9.6,60,99
A yard of jackals,thriller,7.2,42,108
AK47,thriller,7.2,15,146
Aarambham,thriller,6.7,487,134
Aatmanirbhar Bharat,thriller,6.0,154,99
Abaddon's Pit,thriller,5.6,45,93
Abakwa,thriller,6.0,154,100
Abducted Off the Street: The Carlesha Gaither Story,thriller,6.9,187,90
Abductee,thriller,6.0,154,119
Abduction Chronicles,thriller,8.6,37,126
Abhi,thriller,8.1,46,135
Abhirami,thriller,7.8,8,107
Abigail,thriller,6.5,101000,109
Abnormal: Buas,thriller,5.7,28,90
Above the Knee,thriller,6.3,72,76
Abraham Ozler,thriller,6.6,4500,143
Absolution,thriller,5.2,9200,112
Ad Absurdum,thriller,6.0,154,87
Admonition,thriller,6.0,154,99
Adopted,thriller,4.2,241,83
Adrishya Awaaz,thriller,9.0,9,80
Afraid,thriller,5.2,15000,84
African American Psycho: The Hip Hop Freak,thriller,5.6,19,99
Aftergames,thriller,7.9,20,81
Aftermath,thriller,5.1,4400,97
Against the Spread,thriller,8.6,14,99
Agapouse ta louloudia perissotero,thriller,5.3,190,86
Agastya - Chapter 1,thriller,6.7,632,168
Agathokakological,thriller,4.9,145,114
Agent Jayne,thriller,7.1,260,99
"Agnes, Beauty is a Painted Hell",thriller,6.0,154,99
Agrinai,thriller,7.9,67,93
Ahalya,thriller,6.0,10,132
Aham Reboot,thriller,6.2,1200,91
Aiden,thriller,2.5,135,74
Air Force One Down,thriller,4.4,3000,84
"Aire, Just Breathe",thriller,4.7,201,98
Ajaan,thriller,9.8,8,99
Akkaran,thriller,4.5,27,107
